"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Wade Davis","5","4","3","0","3","6","1","5.66","25","107","65","34","9","22","9","6","4","0","56","","","-0.057","1.15","-0.5"
"Luke Hochevar","1","0","0","0","0","1","0","2.82","3","16","11","6","2","3","1","1","0","0","","0","0","0.055","0.72","0.5"
"Tim Collins, W (2-1)","2","0","0","0","0","0","0","2.66","6","19","13","6","3","4","4","2","0","0","","0","0","0.194","1.28","1.0"
"Greg Holland","1","1","0","0","0","1","0","2.25","4","20","12","6","1","5","0","3","2","0","","0","0","0.014","0.28","0.5"
