MDLYR_DT,VI_MFR_CD,VI_MFR_NM,GBE_INDX_NUM,OV_ID,VC_CNFG_NUM,CL_NM,CLS_TYP_CD,GBE_CID_MSR,GBE_PLC_IND_CD,VC_RTD_HP_MSR,ECS_CD,ECS_CD_0,ECS_CD_1,ECS_CD_2,ECS_CD_3,EVCS_CD,TRNS,DRV_SYS_CD,TOD_CD,VC_DSN_ETW_MSR,VC_CMPRSN_RAT_MSR,VC_AXLE_RAT_MSR,VC_NV_RAT_MSR,TPF_ACHP_IND_CD,TPF_DYNO_HP_MSR,SIL_CD,TST_PRC_CD,TST_PRPS_CD,TST_NUM_ID,VEH_FL_TYP_CD,CH_CD,AVRG_CD,GT_WT_MSR,CMYT_HC_FE_MSR,CMYT_CO_FE_MSR,CMYT_CO2_FE_MSR,CMYT_NOX_MSR,CMYT_PM_MSR,GT_RND_ADJ_QTY,TPF_DYN_TRK_A_MSR,TPF_DYN_TRK_B_MSR,TPF_DYN_TRK_C_MSR,TPF_EDYN_TRK_A_MSR,TPF_EDYN_TRK_B_MSR,TPF_EDYN_TRK_C_MSR,ENG_CD,EF_ID,VC_CYL_CNT,TPF_MFR_CSTDN_MSR
2009,20,Chrysler LLC,1,L8JCD8152,0,JOURNEY 2WD,T,215,N,235,,,,,,102,L6,F,2,4500,10,2.24,28.70,Y,,1,3,31,1083480,61,H,,,0.0230,0.40,275,,,32.20,37.74,0.6338,0.024040,13.53,0.1037,0.025850,FA-100,9CRXJ04.0TN0,6,16.12
2009,20,Chrysler LLC,1,L8JCD8152,0,JOURNEY 2WD,T,215,N,235,,,,,,102,L6,F,2,4500,10,2.24,28.70,Y,,1,21,31,1083479,61,C,,,0.0640,1.07,459,0,,19.30,37.74,0.6338,0.024040,13.53,0.1037,0.025850,FA-100,9CRXJ04.0TN0,6,16.12
2009,20,Chrysler LLC,3,L8JCD8152,1,JOURNEY 4WD,T,215,N,235,,,,,,102,L6,4,2,4500,10,2.24,28.70,Y,,1,3,32,1086540,61,H,,,,,,,,29.90,37.74,0.6338,0.024040,13.53,0.1037,0.025850,FA-200,9CRXJ04.0TN0,6,16.12
2009,20,Chrysler LLC,3,L8JCD8152,1,JOURNEY 4WD,T,215,N,235,,,,,,102,L6,4,2,4500,10,2.24,28.70,Y,,1,21,32,1086539,61,C,,,,,,,,18.40,37.74,0.6338,0.024040,13.53,0.1037,0.025850,FA-200,9CRXJ04.0TN0,6,16.12
2009,20,Chrysler LLC,4,L7JSC0243,2,JOURNEY 2WD,T,144,N,173,,,,,,102,L4,F,2,4000,10.50,2.95,36,Y,,1,3,32,1083587,61,H,,,,,,,,35,27.99,0.5576,0.020970,10.83,0.1288,0.018110,AA-100,9CRXV02.4UP0,4,17.45
2009,20,Chrysler LLC,4,L7JSC0243,2,JOURNEY 2WD,T,144,N,173,,,,,,102,L4,F,2,4000,10.50,2.95,36,Y,,1,21,32,1083586,61,C,,,,,,,,23.80,27.99,0.5576,0.020970,10.83,0.1288,0.018110,AA-100,9CRXV02.4UP0,4,17.45
2009,20,Chrysler LLC,201,L4PTC0806,0,PT CRUISER,T,148,N,220,,,,,,102,L4,F,2,3625,9.50,2.69,37.30,Y,,1,3,31,1051401,61,H,,,0.0020,0.03,260,,,34.10,37.04,0.3770,0.0218,1.36,0.0850,0.0236,FA-400,9CRXV02.41P0,4,15.56
2009,20,Chrysler LLC,201,L4PTC0806,0,PT CRUISER,T,148,N,220,,,,,,102,L4,F,2,3625,9.50,2.69,37.30,Y,,1,21,31,1051400,61,C,,,0.0490,0.50,384,0.03,,23,37.04,0.3770,0.0218,1.36,0.0850,0.0236,FA-400,9CRXV02.41P0,4,15.56
2009,20,Chrysler LLC,202,L4PTC0810,0,PT CRUISER,T,148,N,220,,,,,,102,L4,F,2,3625,9.50,2.69,37.70,Y,,1,3,31,1051399,61,H,,,0.0010,0.07,260,,,34.10,35.27,0.3770,0.0218,2.60,0.2570,0.0209,FA-200,9CRXV02.42P1,4,15.49
2009,20,Chrysler LLC,202,L4PTC0810,0,PT CRUISER,T,148,N,220,,,,,,102,L4,F,2,3625,9.50,2.69,37.70,Y,,1,21,31,1051398,61,C,,,0.0370,0.27,374,0.02,,23.70,35.27,0.3770,0.0218,2.60,0.2570,0.0209,FA-200,9CRXV02.42P1,4,15.49
2009,20,Chrysler LLC,202,L4PTC0813,1,PT CRUISER,T,148,N,220,,,,,,102,M4,F,2,3500,9.50,2.83,39.70,Y,,1,3,31,1051648,61,H,,,0.0020,0.26,243,,,36.40,28.61,0.2695,0.0233,9.44,0.0730,0.0228,FM-200,9CRXV02.42P1,4,16.18
2009,20,Chrysler LLC,202,L4PTC0813,1,PT CRUISER,T,148,N,220,,,,,,102,M4,F,2,3500,9.50,2.83,39.70,Y,,1,3,31,1051649,61,H,,,0.0010,0.33,246,,,36,28.61,0.2695,0.0233,9.44,0.0730,0.0228,FM-200,9CRXV02.42P1,4,16.18
2009,20,Chrysler LLC,202,L4PTC0813,1,PT CRUISER,T,148,N,220,,,,,,102,M4,F,2,3500,9.50,2.83,39.70,Y,,1,21,31,1051647,61,C,,,0.0510,0.92,333,0.01,,26.50,28.61,0.2695,0.0233,9.44,0.0730,0.0228,FM-200,9CRXV02.42P1,4,16.18
2009,20,Chrysler LLC,203,L6PMD7731,2,CALIBER,C,110,N,165,,,,,,102,M5,F,2,3250,10.50,3.34,44.60,Y,,1,3,32,1088237,61,H,,,,,,,,41.80,28.60,0.2819,0.0226,12.07,0.1408,0.022750,AM-100,9CRXV01.81P0,4,15.80
2009,20,Chrysler LLC,203,L6PMD7731,2,CALIBER,C,110,N,165,,,,,,102,M5,F,2,3250,10.50,3.34,44.60,Y,,1,21,32,1088234,61,C,,,,,,,,31.30,28.60,0.2819,0.0226,12.07,0.1408,0.022750,AM-100,9CRXV01.81P0,4,
