MDLYR_DT,VI_MFR_CD,VI_MFR_NM,GBE_INDX_NUM,OV_ID,VC_CNFG_NUM,CL_NM,CLS_TYP_CD,GBE_CID_MSR,GBE_PLC_IND_CD,VC_RTD_HP_MSR,ECS_CD,ECS_CD_0,ECS_CD_1,ECS_CD_2,ECS_CD_3,EVCS_CD,TRNS,DRV_SYS_CD,TOD_CD,VC_DSN_ETW_MSR,VC_CMPRSN_RAT_MSR,VC_AXLE_RAT_MSR,VC_NV_RAT_MSR,TPF_ACHP_IND_CD,TPF_DYNO_HP_MSR,SIL_CD,TST_PRC_CD,TST_PRPS_CD,TST_NUM_ID,Test Originator,VEH_FL_TYP_CD,CH_CD,AVRG_CD,GT_WT_MSR,CMYT_HC_FE_MSR,CMYT_CO_FE_MSR,CMYT_CO2_FE_MSR,CMYT_NOX_MSR,CMYT_PM_MSR,GT_RND_ADJ_QTY,TPF_DYN_TRK_A_MSR,TPF_DYN_TRK_B_MSR,TPF_DYN_TRK_C_MSR,TPF_EDYN_TRK_A_MSR,TPF_EDYN_TRK_B_MSR,TPF_EDYN_TRK_C_MSR,ENG_CD,EF_ID,VC_CYL_CNT,TPF_MFR_CSTDN_MSR
2001,20,Chrysler LLC,15,V9AN1-6074,1,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,L4,R,2,4500,9.1,3.55,29.3,Y,11.5,1,2,31,1031560,MFR,6,C,,,0.056,0.69,522,0.04,,17.0,,,,,,,NA-100,1CRXT03.92D1,6,
2001,20,Chrysler LLC,15,V9AN1-6074,1,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,L4,R,2,4500,9.1,3.55,29.3,Y,11.5,1,3,31,1031561,MFR,6,H,,,0.018,0.04,344,,,25.8,,,,,,,NA-100,1CRXT03.92D1,6,13.81
2001,20,Chrysler LLC,15,V0AN5-8311,0,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,4,2,4500,9.1,3.55,29.6,Y,13.5,2,2,31,1030749,MFR,6,C,B,0.33,0.100,1.36,543,0.03,,16.3,,,,,,,NM-200,1CRXT03.92D1,6,13.95
2001,20,Chrysler LLC,15,V0AN5-8311,0,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,4,2,4500,9.1,3.55,29.6,Y,13.5,2,3,31,1030750,MFR,6,H,B,0.33,0.010,0.08,345,,,25.8,,,,,,,NM-200,1CRXT03.92D1,6,13.95
2001,20,Chrysler LLC,15,V0AN5-8311,1,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,4,2,4500,9.1,3.55,29.6,Y,13.5,3,2,31,1030747,MFR,6,C,B,0.67,0.104,1.26,512,0.02,,17.3,,,,,,,NM-200,1CRXT03.92D1,6,13.95
2001,20,Chrysler LLC,15,V0AN5-8311,1,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,4,2,4500,9.1,3.55,29.6,Y,13.5,3,3,31,1030748,MFR,6,H,B,0.67,0.012,0.08,346,,,25.7,,,,,,,NM-200,1CRXT03.92D1,6,13.95
2001,20,Chrysler LLC,15,V0AN5-8311,2,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,4,2,5000,9.1,3.55,28.0,Y,13.5,2,2,31,1030743,MFR,6,C,C,0.33,0.095,1.16,566,0.07,,15.7,,,,,,,NM-200,1CRXT03.92D1,6,14.48
2001,20,Chrysler LLC,15,V0AN5-8311,2,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,4,2,5000,9.1,3.55,28.0,Y,13.5,2,3,31,1030744,MFR,6,H,C,0.33,0.019,0.16,356,,,25.0,,,,,,,NM-200,1CRXT03.92D1,6,14.48
2001,20,Chrysler LLC,15,V0AN5-8311,3,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,4,2,5000,9.1,3.55,28.0,Y,13.5,3,2,31,1030745,MFR,6,C,C,0.67,0.085,1.18,525,0.03,,16.9,,,,,,,NM-200,1CRXT03.92D1,6,14.48
2001,20,Chrysler LLC,15,V0AN5-8311,3,DAKOTA PICKUP 4WD,T,239,N,175,,,,,,,M5,4,2,5000,9.1,3.55,28.0,Y,13.5,3,3,31,1030746,MFR,6,H,C,0.67,0.014,0.13,355,,,25.0,,,,,,,NM-200,1CRXT03.92D1,6,14.48
