"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Monday, Apr 6","boxscore","HOU","","CLE","W","2","0","","1-0","1","Tied","Keuchel","Kluber","Gregerson","2:30","N","43,753","+"
"2","2","Wednesday, Apr 8","boxscore","HOU","","CLE","L","0","2","","1-1","3","0.5","Carrasco","Feldman","Allen","2:40","N","23,078","-"
"3","3","Thursday, Apr 9","boxscore","HOU","","CLE","L","1","5","","1-2","4","1.0","Bauer","Wojciechowski","","3:08","D","22,593","--"
"4","4","Friday, Apr 10","boxscore","HOU","@","TEX","W","5","1","","2-2","2","0.5","McHugh","Holland","","2:45","D","48,885","+"
"5","5","Saturday, Apr 11","boxscore","HOU","@","TEX","L","2","6","","2-3","3","0.5","Gallardo","Hernandez","","3:18","N","36,833","-"
"6","6","Sunday, Apr 12","boxscore","HOU","@","TEX","W","6","4","14","3-3","1","Tied","Harris","Verrett","Deduno","4:24","D","35,276","+"
"7","7","Monday, Apr 13","boxscore","HOU","","OAK","L","1","8","","3-4","2","0.5","Kazmir","Feldman","","2:51","N","19,279","-"
"8","8","Tuesday, Apr 14","boxscore","HOU","","OAK","L","0","4","","3-5","3","1.5","Graveman","Peacock","","2:58","N","18,935","--"
"9","9","Wednesday, Apr 15","boxscore","HOU","","OAK","W","6","1","","4-5","2","0.5","McHugh","Pomeranz","","2:42","N","19,777","+"
"10","10","Friday, Apr 17","boxscore","HOU","","LAA","L","3","6","","4-6","4","1.0","Ramos","Qualls","Street","2:57","N","22,660","-"
"11","11","Saturday, Apr 18","boxscore","HOU","","LAA","W","4","0","","5-6","2","0.5","Keuchel","Wilson","","2:38","N","28,209","+"
"12","12","Sunday, Apr 19","boxscore","HOU","","LAA","W","4","3","","6-6","1","up 0.5","Feldman","Richards","Gregerson","3:20","D","24,254","++"
"13","13","Monday, Apr 20","boxscore","HOU","@","SEA","W","7","5","","7-6","1","up 0.5","Sipp","Farquhar","Gregerson","3:26","N","15,129","+++"
"14","14","Tuesday, Apr 21","boxscore","HOU","@","SEA","W","6","3","","8-6","1","up 1.5","McHugh","Furbush","Qualls","3:00","N","13,949","++++"
"15","15","Wednesday, Apr 22","boxscore","HOU","@","SEA","L","2","3","","8-7","1","up 0.5","Happ","Hernandez","Rodney","2:34","N","14,756","-"
"16","16","Friday, Apr 24","boxscore","HOU","@","OAK","W","5","4","11","9-7","1","up 1.5","Gregerson","O'Flaherty","Qualls","3:36","N","18,205","+"
"17","17","Saturday, Apr 25","boxscore","HOU","@","OAK","W","9","3","","10-7","1","up 1.5","Feldman","Graveman","","2:55","D","24,342","++"
"18","18","Sunday, Apr 26","boxscore","HOU","@","OAK","W","7","6","","11-7","1","up 2.5","Sipp","Clippard","Gregerson","3:11","D","22,080","+++"
"19","19","Monday, Apr 27","boxscore","HOU","@","SDP","W","9","4","","12-7","1","up 3.0","Neshek","Benoit","","3:28","N","19,532","++++"
"20","20","Tuesday, Apr 28","boxscore","HOU","@","SDP","W","14","3","","13-7","1","up 4.0","Hernandez","Ross","","3:17","N","22,796","+++++"
"21","21","Wednesday, Apr 29","boxscore","HOU","@","SDP","W","7","2","","14-7","1","up 4.0","Keuchel","Cashner","","2:34","D","21,824","++++++"
"22","22","Thursday, Apr 30","boxscore","HOU","","SEA","W-wo","3","2","10","15-7","1","up 4.0","Gregerson","Leone","","3:01","N","19,108","+++++++"
