"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"David Huff","4.1","7","3","3","1","3","0","2.61","21","84","55","29","7","19","10","7","2","0","39","","","-0.152","1.10","-1.2"
"Chris Seddon","0.2","1","0","0","0","0","0","4.00","3","6","5","3","1","1","1","2","1","0","","1","0","0.053","1.33","0.5"
"Frank Herrmann","1","0","0","0","0","0","0","3.55","3","9","6","4","0","2","1","2","1","0","","0","0","0.052","0.69","0.5"
"Cody Allen, BS (1)","0.1","2","1","1","1","1","0","3.28","4","13","8","4","0","4","1","1","0","0","","0","0","-0.267","2.66","-1.4"
"Scott Barnes","0.2","0","0","0","0","0","0","5.17","1","1","1","1","0","0","1","0","0","0","","2","0","0.147","3.29","0.9"
"Vinnie Pestano","1","1","0","0","0","1","0","2.13","4","21","17","15","1","1","1","2","1","0","","0","0","0.102","2.22","0.5"
"Chris Perez","1","1","0","0","1","0","0","3.42","5","12","7","5","1","1","3","1","1","0","","0","0","0.130","3.70","0.5"
"Joe Smith","1","0","0","0","0","1","0","3.26","3","14","10","6","0","4","0","2","0","0","","0","0","0.130","1.75","0.5"
"Esmil Rogers","1.1","0","0","0","1","1","0","4.44","5","19","10","4","1","5","2","1","0","0","","0","0","0.187","1.96","0.7"
"Scott Maine, L (2-2)","0.2","4","2","2","0","0","0","5.09","5","13","11","7","2","2","3","2","1","0","","0","0","-0.473","1.77","-1.8"
