"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Chris Bassitt","6.1","7","2","2","1","3","0","2.93","27","98","57","39","3","15","7","15","10","0","53","","","-0.021","1.46","1.1"
"Eric O'Flaherty, W (1-2)","0.2","0","1","1","1","0","0","6.88","3","17","9","6","0","3","2","0","0","0","","1","0","0.040","1.78","0.1"
"Edward Mujica, H (2)","0.1","1","1","1","0","0","1","3.91","2","8","5","3","0","2","1","1","0","0","","1","1","-0.108","1.73","-1.4"
"Drew Pomeranz, H (8)","0.1","0","0","0","0","1","0","3.64","1","6","5","2","2","1","0","0","0","0","","0","0","0.047","1.87","0.2"
"Tyler Clippard, S (17)","1.1","0","0","0","0","1","0","2.43","4","16","8","4","2","2","1","2","0","0","","0","0","0.238","2.33","0.6"
