"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Zach Britton, W (4-1)","8","7","1","1","0","10","0","4.80","30","104","77","38","20","19","10","10","6","0","74","","","0.203","0.79","3.0"
"Pedro Strop","0.1","2","2","2","0","0","0","1.86","3","13","11","7","1","3","2","1","1","0","","0","0","-0.019","0.33","-0.4"
"Jim Johnson, S (41)","0.2","1","0","0","0","1","0","2.93","3","8","7","4","1","2","2","0","0","0","","2","2","0.034","1.01","-1.1"
