"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Paul Clemens","6","4","1","1","2","2","0","5.81","23","78","45","31","4","10","5","14","4","0","60","","","0.234","1.33","2.0"
"Erik Bedard, BS (1), L (3-10)","1.2","5","3","3","1","2","0","4.63","11","38","25","13","3","9","3","5","3","0","","0","0","-0.597","3.07","-2.5"
"Josh Fields","0.1","0","0","0","0","1","0","6.18","1","6","4","3","1","0","0","0","0","0","","2","0","0.031","1.15","0.5"
