,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
35,afternoon,Wednesday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
36,afternoon,Wednesday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
37,afternoon,Tuesday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
38,afternoon,Tuesday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
39,morning,Tuesday,COLOR,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
40,afternoon,Tuesday,COLOR,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
41,evening,Tuesday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
42,morning,Wednesday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
43,afternoon,Thursday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,1,0
44,morning,Saturday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
45,afternoon,Sunday,STYLE,JJ,STYLE,JJ,1,40,Saturday,morning,0,0,40,1,1,0,0,0,0,0,29
46,evening,Friday,STYLE,JJ,STYLE,JJ,1,30,Sunday,afternoon,0,0,70,2,2,0,0,0,0,0,33
47,evening,Friday,STYLE,JJ,STYLE,JJ,1,119.6,Friday,evening,0,1,100,3,3,0,1,0,0,0,35
48,,Saturday,STYLE,JJ,STYLE,JJ,1,96.6,Friday,evening,0,1,130,4,4,0,2,0,0,1,22
49,morning,Sunday,STYLE,JJ,STYLE,JJ,0,0,Saturday,,1,0,130,5,5,0,2,1,1,0,8
50,evening,Tuesday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
51,morning,Saturday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
52,afternoon,Friday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
53,evening,Wednesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
54,evening,Friday,STYLE,JJ,STYLE,JJ,1,82,Wednesday,evening,0,0,82,1,1,0,0,0,0,0,30
55,evening,Saturday,STYLE,KELLY,STYLE,JJ,1,52,Friday,evening,0,0,134,2,2,0,0,0,0,0,15
56,afternoon,Friday,STYLE,KELLY,STYLE,KELLY,1,55,Saturday,evening,0,0,189,3,3,0,0,0,0,0,13
57,afternoon,Friday,COLOR,JOANNE,STYLE,KELLY,1,55,Saturday,evening,0,0,189,3,3,0,0,0,0,0,13
58,afternoon,Wednesday,STYLE,JJ,COLOR,JOANNE,2,202,Friday,afternoon,0,1,309,5,4,1,2,0,0,0,26
59,afternoon,Wednesday,COLOR,JOANNE,COLOR,JOANNE,2,202,Friday,afternoon,0,1,309,5,4,1,2,0,0,0,26
