"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Matt Boyd","5","3","3","3","2","5","0","8.02","18","72","43","30","4","9","3","8","2","0","52","","","-0.045","1.05","0.0"
"Al Alburquerque","0.1","3","2","2","0","0","0","4.39","4","12","8","4","2","2","3","1","0","0","","2","2","-0.223","1.65","-2.6"
"Tom Gorzelanny","1","1","0","0","0","2","0","6.62","4","11","9","3","2","4","2","0","0","0","","2","1","0.039","0.89","0.6"
"Neftali Feliz","0.1","1","1","1","0","0","0","7.41","2","8","4","3","0","1","0","2","1","0","","0","0","-0.014","1.66","-0.1"
"Blaine Hardy","0","1","0","0","0","0","0","2.53","1","5","3","2","0","1","0","1","1","0","","1","1","-0.198","2.21","-0.9"
"Alex Wilson","1.1","1","0","0","0","0","0","2.20","5","18","12","7","0","5","3","2","1","0","","1","0","0.129","1.38","0.7"
"Bruce Rondon, BS (2)","1","1","1","1","2","1","0","6.23","7","30","18","11","4","3","1","3","1","0","","0","0","-0.211","5.68","-0.5"
"Ian Krol","0.1","0","0","0","0","1","0","6.65","1","4","3","1","1","1","0","0","0","0","","0","0","0.057","2.29","0.2"
"Drew VerHagen","2.1","1","0","0","0","2","0","1.76","8","29","19","10","1","8","3","3","1","0","","0","0","0.278","1.71","1.0"
"Kyle Ryan, W (2-3)","1.1","1","0","0","0","0","0","5.72","4","13","11","8","1","2","3","1","1","0","","1","0","0.195","2.33","0.7"
