"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"John Lackey, L (7-10)","7","7","4","4","2","5","1","3.32","29","111","73","44","11","18","10","12","6","0","50","","","-0.136","0.81","-0.5"
"Drake Britton","1","2","0","0","2","1","0","2.08","6","26","11","4","2","5","2","1","0","0","","0","0","0.031","0.93","0.5"
