"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Dellin Betances","2","1","0","0","2","2","0","6.75","9","44","23","13","1","9","1","4","2","0","54","","","0.077","1.01","0.9"
"George Kontos","0.2","0","0","0","1","0","0","3.00","3","14","5","3","1","1","1","1","0","0","","0","0","0.009","0.79","0.1"
"Aaron Laffey","1.1","0","0","0","0","1","0","3.88","5","16","8","5","1","2","1","2","0","0","","1","0","0.035","0.49","0.8"
"Phil Hughes","1","0","0","0","1","1","0","5.79","4","20","14","7","2","5","1","1","0","0","","0","0","0.009","0.26","0.5"
"Raul Valdes","1","1","0","0","1","1","0","3.00","5","22","13","7","4","2","0","3","1","0","","0","0","0.007","0.16","0.5"
"A.J. Burnett","0.1","0","0","0","0","0","0","5.15","1","5","3","1","1","1","1","0","0","0","","0","0","0.003","0.11","0.2"
"Andrew Brackman","0.1","0","0","0","1","0","0","0.00","3","13","6","4","1","1","2","0","0","0","","0","0","-0.002","0.05","-0.2"
"Boone Logan","0.1","2","3","3","0","1","0","3.46","4","12","6","2","0","4","0","2","1","0","","2","0","-0.023","0.18","-1.4"
"Luis Ayala","1","2","3","3","1","1","1","2.09","7","24","13","5","2","6","1","3","0","0","","3","3","-0.123","1.73","-3.7"
"Cory Wade, BS (1)","0.2","1","1","1","0","0","1","2.04","3","14","9","5","0","4","1","2","1","0","","0","0","-0.345","2.53","-0.6"
"Scott Proctor, L (2-6)","2.2","3","1","1","2","3","1","7.14","13","56","35","19","8","8","3","5","2","0","","0","0","-0.076","2.69","0.2"
