,sonnet_index,syllables,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,word_list,sonnet_num,author,polarity,subjectivity
0,2,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['From', 'fairest', 'creatures', 'we', 'desire', 'increase']",1,Shakespeare,0.0,0.0
1,3,11,unstress,stress,stress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['That', 'thereby', 'beauty', 'rose', 'might', 'never', 'die']",1,Shakespeare,0.6,0.95
2,4,10,stress,stress,unstress,missing,missing,stress,stress,stress,unstress,stress,missing,missing,"['But', 'as', 'the', 'riper', 'should', 'by', 'time', 'decease']",1,Shakespeare,0.0,0.0
3,5,10,unstress,stress,unstress,stress,stress,stress,unstress,stress,unstress,unstress,missing,missing,"['His', 'tender', 'heir', 'might', 'bear', 'his', 'memory']",1,Shakespeare,0.0,0.0
4,6,10,stress,stress,stress,unstress,unstress,stress,stress,stress,stress,stress,missing,missing,"['But', 'thou', 'contracted', 'to', 'thine', 'own', 'bright', 'eyes']",1,Shakespeare,0.65,0.9
5,7,10,missing,stress,stress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Feedst', 'thy', 'light', 'flame', 'with', 'self', 'substantial', 'fuel']",1,Shakespeare,0.4,0.7
6,8,10,stress,unstress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Making', 'a', 'famine', 'where', 'abundance', 'lies']",1,Shakespeare,0.0,0.0
7,9,10,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,missing,missing,"['Thy', 'self', 'thy', 'foe', 'to', 'thy', 'sweet', 'self', 'too', 'cruel']",1,Shakespeare,-0.325,0.825
8,10,10,stress,stress,stress,stress,unstress,stress,stress,stress,unstress,unstress,missing,missing,"['Thou', 'that', 'art', 'now', 'the', 'world', 'fresh', 'ornament']",1,Shakespeare,0.3,0.5
9,11,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['And', 'only', 'herald', 'to', 'the', 'gaudy', 'spring']",1,Shakespeare,0.0,1.0
10,12,10,unstress,stress,stress,stress,stress,missing,missing,stress,unstress,stress,missing,missing,"['Within', 'thine', 'own', 'bud', 'buriest', 'thy', 'content']",1,Shakespeare,0.6,1.0
11,13,10,unstress,stress,unstress,missing,missing,stress,unstress,missing,missing,missing,missing,missing,"['And', 'tender', 'churl', 'makst', 'waste', 'in', 'niggarding']",1,Shakespeare,-0.2,0.0
12,14,10,stress,unstress,unstress,stress,unstress,stress,unstress,missing,missing,stress,missing,missing,"['Pity', 'the', 'world', 'or', 'else', 'this', 'glutton', 'be']",2,Shakespeare,-0.1,0.2
13,15,9,unstress,stress,unstress,stress,stress,stress,unstress,stress,unstress,missing,missing,missing,"['To', 'eat', 'the', 'world', 'due', 'by', 'the', 'grave', 'and', 'thee']",2,Shakespeare,-0.125,0.375
14,19,10,stress,stress,unstress,stress,unstress,stress,unstress,stress,stress,stress,missing,missing,"['When', 'forty', 'winters', 'shall', 'besiege', 'thy', 'brow']",2,Shakespeare,0.0,0.0
15,20,9,unstress,stress,stress,stress,unstress,stress,stress,unstress,stress,missing,missing,missing,"['And', 'dig', 'deep', 'trenches', 'in', 'thy', 'beauty', 'field']",2,Shakespeare,0.0,0.4
16,21,10,stress,stress,stress,stress,unstress,unstress,stress,stress,stress,stress,missing,missing,"['Thy', 'youth', 'proud', 'livery', 'so', 'gazed', 'on', 'now']",2,Shakespeare,0.8,1.0
17,22,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,stress,stress,missing,missing,"['Will', 'be', 'a', 'tatter', 'weed', 'of', 'small', 'worth', 'held']",2,Shakespeare,0.025,0.25
18,23,9,stress,stress,stress,stress,stress,stress,stress,unstress,stress,missing,missing,missing,"['Then', 'being', 'asked', 'where', 'all', 'thy', 'beauty', 'lies']",2,Shakespeare,0.0,0.0
19,24,10,stress,stress,unstress,stress,unstress,stress,stress,stress,unstress,missing,missing,missing,"['Where', 'all', 'the', 'treasure', 'of', 'thy', 'lusty', 'days;']",2,Shakespeare,0.0,0.0
20,25,10,unstress,stress,unstress,stress,stress,stress,stress,stress,unstress,stress,missing,missing,"['To', 'say', 'within', 'thine', 'own', 'deep', 'sunken', 'eyes']",2,Shakespeare,0.3,0.7
