,sonnet_index,syllables,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,word_list,sonnet_num,author,polarity,subjectivity
0,0,11,stress,stress,unstress,stress,stress,unstress,unstress,stress,stress,stress,missing,missing,"['Some', 'flowers', 'are', 'withered', 'and', 'some', 'joys', 'have', 'died;']",1, Helen Hunt Jackson    ,0.0,0.0
1,1,11,unstress,stress,unstress,stress,unstress,stress,stress,stress,unstress,unstress,stress,missing,"['The', 'garden', 'reeks', 'with', 'an', 'East', 'Indian', 'scent']",1, Helen Hunt Jackson    ,0.0,0.0
2,2,11,unstress,stress,stress,missing,missing,missing,missing,stress,stress,stress,missing,missing,"['From', 'beds', 'where', 'gillyflowers', 'stand', 'weak', 'and', 'spent;']",1, Helen Hunt Jackson    ,-0.2375,0.3625
3,3,11,unstress,stress,stress,stress,unstress,stress,unstress,stress,unstress,missing,missing,missing,"['The', 'white', 'heat', 'pales', 'the', 'skies', 'from', 'side', 'to', 'side;']",1, Helen Hunt Jackson    ,0.0,0.0
4,4,10,stress,stress,stress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['But', 'in', 'still', 'lakes', 'and', 'rivers', 'cool', 'content']",1, Helen Hunt Jackson    ,0.35,0.65
5,5,10,stress,stress,unstress,stress,stress,stress,stress,missing,missing,missing,missing,missing,"['Like', 'starry', 'blooms', 'on', 'a', 'new', 'firmament']",1, Helen Hunt Jackson    ,0.136363636364,0.454545454545
6,6,10,stress,stress,unstress,stress,unstress,stress,unstress,unstress,unstress,stress,missing,missing,"['White', 'lilies', 'float', 'and', 'regally', 'abide']",1, Helen Hunt Jackson    ,0.0,0.0
7,7,9,unstress,stress,unstress,stress,stress,stress,stress,stress,missing,missing,missing,missing,"['In', 'vain', 'the', 'cruel', 'skies', 'their', 'hot', 'rays', 'shed;']",1, Helen Hunt Jackson    ,-0.375,0.925
8,8,10,unstress,stress,unstress,stress,stress,stress,stress,stress,unstress,stress,missing,missing,"['The', 'lily', 'does', 'not', 'feel', 'their', 'brazen', 'glare']",1, Helen Hunt Jackson    ,0.0,0.0
9,9,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['In', 'vain', 'the', 'pallid', 'clouds', 'refuse', 'to', 'share']",1, Helen Hunt Jackson    ,0.0,0.0
10,10,10,stress,stress,unstress,stress,unstress,stress,stress,stress,stress,stress,missing,missing,"['Their', 'dews', 'the', 'lily', 'feels', 'no', 'thirst', 'no', 'dread']",1, Helen Hunt Jackson    ,0.0,0.0
11,11,10,unstress,stress,stress,stress,unstress,missing,missing,stress,unstress,missing,missing,missing,"['Unharmed', 'she', 'lifts', 'her', 'queenly', 'face', 'and', 'head;']",1, Helen Hunt Jackson    ,0.0,0.0
12,12,10,stress,stress,unstress,stress,unstress,stress,unstress,stress,stress,stress,missing,missing,"['She', 'drinks', 'of', 'living', 'waters', 'and', 'keeps', 'fair']",1, Helen Hunt Jackson    ,0.7,0.9
13,13,10,stress,stress,stress,stress,stress,stress,stress,stress,unstress,stress,missing,missing,"['O', 'Month', 'when', 'they', 'who', 'love', 'must', 'love', 'and', 'wed']",1, Helen Hunt Jackson    ,0.5,0.6
14,14,10,unstress,stress,unstress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['Were', 'one', 'to', 'go', 'to', 'worlds', 'where', 'May', 'is', 'naught']",2, Helen Hunt Jackson    ,0.0,0.0
15,15,11,unstress,stress,unstress,stress,unstress,stress,unstress,unstress,stress,stress,stress,missing,"['And', 'seek', 'to', 'tell', 'the', 'memories', 'he', 'had', 'brought']",2, Helen Hunt Jackson    ,0.0,0.0
16,16,9,unstress,stress,unstress,stress,stress,stress,stress,missing,missing,missing,missing,missing,"['From', 'earth', 'of', 'thee', 'what', 'were', 'most', 'fitly', 'said']",2, Helen Hunt Jackson    ,0.45,0.45
17,17,10,stress,stress,stress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['I', 'know', 'not', 'if', 'the', 'rosy', 'showers', 'shed']",2, Helen Hunt Jackson    ,0.0,0.0
18,18,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,stress,stress,missing,missing,"['From', 'apple', 'boughs', 'or', 'if', 'the', 'soft', 'green', 'wrought']",2, Helen Hunt Jackson    ,-0.05,0.325
19,19,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['In', 'fields', 'or', 'if', 'the', 'robin', 'call', 'be', 'fraught']",2, Helen Hunt Jackson    ,0.0,0.0
20,20,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,stress,stress,missing,missing,"['The', 'most', 'with', 'thy', 'delight', 'Perhaps', 'they', 'read']",2, Helen Hunt Jackson    ,0.5,0.5
21,21,9,stress,stress,stress,stress,unstress,stress,stress,unstress,missing,missing,missing,missing,"['Thee', 'best', 'who', 'in', 'the', 'ancient', 'time', 'did', 'say']",2, Helen Hunt Jackson    ,1.0,0.3
22,22,9,stress,stress,unstress,stress,stress,stress,unstress,stress,stress,missing,missing,missing,"['Thou', 'wert', 'the', 'sacred', 'month', 'unto', 'the', 'old']",2, Helen Hunt Jackson    ,0.1,0.2
23,23,10,stress,stress,unstress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['No', 'blossom', 'blooms', 'upon', 'thy', 'brightest', 'day']",2, Helen Hunt Jackson    ,0.0,0.0
24,24,11,stress,stress,unstress,stress,stress,stress,unstress,unstress,stress,unstress,stress,missing,"['So', 'subtly', 'sweet', 'as', 'memories', 'which', 'unfold']",2, Helen Hunt Jackson    ,0.35,0.65
25,25,9,unstress,stress,stress,stress,unstress,stress,stress,stress,missing,missing,missing,missing,"['In', 'aged', 'hearts', 'which', 'in', 'thy', 'sunshine', 'lie']",2, Helen Hunt Jackson    ,-0.1,0.4
26,26,10,unstress,stress,unstress,stress,stress,stress,unstress,stress,stress,stress,missing,missing,"['To', 'sun', 'themselves', 'once', 'more', 'before', 'they', 'die']",2, Helen Hunt Jackson    ,0.5,0.5
27,27,10,stress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['O', 'Winter', 'frozen', 'pulse', 'and', 'heart', 'of', 'fire']",2, Helen Hunt Jackson    ,0.0,0.0
28,28,10,stress,stress,unstress,stress,stress,stress,stress,stress,unstress,stress,missing,missing,"['What', 'loss', 'is', 'theirs', 'who', 'from', 'thy', 'kingdom', 'turn']",3, Helen Hunt Jackson    ,0.0,0.0
29,29,10,unstress,stress,unstress,stress,stress,stress,unstress,stress,unstress,stress,missing,missing,"['Dismayed', 'and', 'think', 'thy', 'snow', 'a', 'sculptured', 'urn']",3, Helen Hunt Jackson    ,0.0,0.0
30,30,10,unstress,stress,stress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['Of', 'death', 'Far', 'sooner', 'in', 'midsummer', 'tire']",3, Helen Hunt Jackson    ,0.1,1.0
31,31,11,unstress,stress,unstress,stress,unstress,stress,stress,stress,stress,stress,missing,missing,"['The', 'streams', 'than', 'under', 'ice', 'June', 'could', 'not', 'hire']",3, Helen Hunt Jackson    ,0.0,0.0
32,32,11,unstress,stress,unstress,stress,unstress,stress,stress,stress,stress,stress,missing,missing,"['Her', 'roses', 'to', 'forego', 'the', 'strength', 'they', 'learn']",3, Helen Hunt Jackson    ,0.0,0.0
33,33,10,unstress,stress,unstress,stress,stress,stress,stress,stress,unstress,stress,missing,missing,"['In', 'sleeping', 'on', 'thy', 'breast', 'No', 'fires', 'can', 'burn']",3, Helen Hunt Jackson    ,0.0,0.0
34,34,9,unstress,stress,stress,stress,stress,stress,stress,unstress,stress,missing,missing,missing,"['The', 'bridges', 'thou', 'dost', 'lay', 'where', 'men', 'desire']",3, Helen Hunt Jackson    ,0.0,0.0
35,35,4,unstress,stress,unstress,stress,missing,missing,missing,missing,missing,missing,missing,missing,"['In', 'vain', 'to', 'build']",3, Helen Hunt Jackson    ,0.0,0.0
36,36,6,stress,stress,stress,stress,stress,stress,missing,missing,missing,missing,missing,missing,"['O', 'Heart', 'when', 'Love', 'sun', 'goes']",3, Helen Hunt Jackson    ,0.5,0.6
37,37,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['To', 'northward', 'and', 'the', 'sounds', 'of', 'singing', 'cease']",3, Helen Hunt Jackson    ,0.0,0.0
38,38,10,stress,stress,stress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Keep', 'warm', 'by', 'inner', 'fires', 'and', 'rest', 'in', 'peace']",3, Helen Hunt Jackson    ,0.3,0.383333333333
39,39,10,stress,stress,unstress,stress,stress,stress,unstress,stress,unstress,stress,missing,missing,"['Sleep', 'on', 'content', 'as', 'sleeps', 'the', 'patient', 'rose']",3, Helen Hunt Jackson    ,0.6,0.95
40,40,10,stress,stress,unstress,stress,unstress,stress,missing,missing,missing,stress,missing,missing,"['Walk', 'boldly', 'on', 'the', 'white', 'untrodden', 'snows']",3, Helen Hunt Jackson    ,0.166666666667,0.333333333333
41,41,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['The', 'winter', 'is', 'the', 'winter', 'own', 'release']",3, Helen Hunt Jackson    ,0.6,1.0
42,42,11,unstress,stress,unstress,stress,unstress,unstress,stress,stress,stress,unstress,stress,missing,"['This', 'is', 'the', 'treacherous', 'month', 'when', 'autumn', 'days']",4, Helen Hunt Jackson    ,0.0,0.0
43,43,10,unstress,stress,unstress,stress,stress,stress,unstress,stress,unstress,stress,missing,missing,"['With', 'summer', 'voice', 'come', 'bearing', 'summer', 'gifts']",4, Helen Hunt Jackson    ,0.0,0.0
44,44,10,unstress,stress,unstress,stress,stress,stress,unstress,stress,unstress,stress,missing,missing,"['Beguiled', 'the', 'pale', 'down', 'trodden', 'aster', 'lifts']",4, Helen Hunt Jackson    ,-0.182777777778,0.234444444444
45,45,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,stress,stress,missing,missing,"['Her', 'head', 'and', 'blooms', 'again', 'The', 'soft', 'warm', 'haze']",4, Helen Hunt Jackson    ,0.35,0.475
