,sonnet_index,syllables,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,word_list,sonnet_num,author,polarity,subjectivity
0,0,10,stress,stress,stress,stress,unstress,stress,stress,stress,stress,missing,missing,missing,"['Bright', 'star', 'would', 'I', 'were', 'steadfast', 'as', 'thou', 'art']",1,Keat,0.55,0.8
1,1,10,stress,stress,stress,missing,missing,stress,unstress,stress,unstress,stress,missing,missing,"['Not', 'in', 'lone', 'splendour', 'hung', 'aloft', 'the', 'night']",1,Keat,0.0,0.0
2,2,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['And', 'watching', 'with', 'eternal', 'lids', 'apart']",1,Keat,0.0,0.0
3,3,10,stress,stress,unstress,stress,unstress,stress,unstress,missing,missing,missing,missing,missing,"['Like', 'Natures', 'patient', 'sleepless', 'Eremite']",1,Keat,0.0,0.0
4,4,10,unstress,stress,unstress,stress,unstress,stress,stress,missing,missing,stress,missing,missing,"['The', 'moving', 'waters', 'at', 'their', 'priestlike', 'task']",1,Keat,0.0,0.0
5,5,10,unstress,stress,missing,missing,missing,stress,stress,stress,unstress,stress,missing,missing,"['Of', 'pure', 'ablution', 'round', 'earths', 'human', 'shores']",1,Keat,0.0047619047619,0.333333333333
6,6,10,unstress,stress,unstress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['Or', 'gazing', 'on', 'the', 'new', 'soft', 'fallen', 'mask']",1,Keat,0.118181818182,0.402272727273
7,7,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Of', 'snow', 'upon', 'the', 'mountains', 'and', 'the', 'moors']",1,Keat,0.0,0.0
8,8,10,missing,missing,stress,stress,stress,missing,missing,missing,missing,missing,missing,missing,"['Noyet', 'still', 'steadfast', 'still', 'unchangeable']",1,Keat,0.4,0.8
9,9,11,missing,missing,unstress,stress,stress,stress,stress,stress,unstress,stress,missing,missing,"['Pillowd', 'upon', 'my', 'fair', 'loves', 'ripening', 'breast']",1,Keat,0.7,0.9
10,10,10,unstress,stress,unstress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['To', 'feel', 'for', 'ever', 'its', 'soft', 'fall', 'and', 'swell']",1,Keat,0.1,0.35
11,11,10,unstress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Awake', 'for', 'ever', 'in', 'a', 'sweet', 'unrest']",1,Keat,0.35,0.65
12,12,10,stress,stress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Still', 'still', 'to', 'hear', 'her', 'tender', 'taken', 'breath']",1,Keat,0.0,0.0
