"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Vance Worley, L (1-5)","3.2","10","8","8","2","3","3","7.21","24","91","55","42","4","9","4","13","5","0","10","","","-0.300","0.70","-6.5"
"Josh Roenicke","1.1","0","0","0","1","0","0","3.28","5","24","14","9","1","4","2","2","0","0","","1","0","0.002","0.02","0.7"
"Ryan Pressly","1","0","0","0","0","0","0","1.59","3","19","12","9","1","2","1","2","0","0","","0","0","0.001","0.01","0.4"
"Caleb Thielbar","2","0","0","0","2","1","0","0.00","8","28","15","9","4","2","3","2","0","0","","0","0","0.001","0.01","0.9"
