"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Gavin Floyd, W (7-9)","7.2","6","2","1","1","5","1","4.37","30","97","65","38","9","18","8","16","6","0","65","","","0.158","0.81","1.6"
"Brian Bruney","0","0","0","0","1","0","0","2.45","1","5","1","0","0","1","0","0","0","0","","2","0","-0.009","0.21","-0.3"
"Will Ohman","1.1","1","0","0","0","1","0","3.86","7","23","13","7","2","4","1","3","1","0","","3","0","0.018","0.19","1.3"
