"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Carlos Villanueva","7","5","1","1","1","8","1","3.12","26","85","56","29","10","17","4","13","2","0","70","","","0.320","1.06","2.5"
"Brandon Lyon, H (8)","1","0","0","0","0","2","0","2.74","3","15","9","4","3","2","0","1","0","0","","0","0","0.121","1.59","0.5"
"Casey Janssen, BS (2)","1","2","1","1","0","0","1","2.36","4","17","13","8","3","2","2","2","0","0","","0","0","-0.198","2.14","-0.5"
"Steve Delabar, W (3-1)","2","0","0","0","0","6","0","4.06","7","26","19","6","7","6","1","0","0","0","","0","0","0.277","2.33","1.0"
