main_category_en,additives_n,ingredients_from_palm_oil_n,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,sodium_100g
Plant-based foods and beverages,0.0,0.0,30.0,0.2,0.1,0.9,0.9,1.1,0.5,0.0590551181102
Plant-based foods and beverages,2.0,1.0,1649.0,3.7,1.4,80.0,28.8,5.0,6.6,0.263779527559
Sugary snacks,12.0,0.0,1525.0,0.0,0.0,90.0,72.0,0.0,0.0,0.0236220472441
Beverages,2.0,0.0,181.0,1.7,0.3,3.7,3.0,0.3,3.1,0.0393700787402
Beverages,2.0,0.0,196.0,0.8,0.1,8.3,6.3,0.2,1.4,0.0275590551181
Beverages,3.0,0.0,120.0,1.4,0.3,3.5,3.3,0.5,0.5,0.0472440944882
Dairies,0.0,0.0,1422.0,29.0,18.0,0.5,0.5,0.0,20.0,1.29921259843
Meats,1.0,0.0,533.0,4.0,1.2,1.4,0.5,0.5,21.0,0.511811023622
Meats,2.0,0.0,1086.0,15.0,5.8,0.1,0.1,0.5,31.0,1.67322834646
Waffles,3.0,0.0,1933.0,21.0,14.0,64.0,34.0,1.0,3.5,0.3
Plant-based foods and beverages,2.0,0.0,1088.0,21.0,2.5,11.0,0.5,5.3,4.8,0.334645669291
Sugary snacks,2.0,0.0,2081.0,23.9,10.3,64.0,29.2,1.5,5.7,0.338582677165
Meats,0.0,0.0,782.0,11.0,0.0,0.5,0.0,0.0,21.0,0.0
Beverages,3.0,0.0,200.0,0.9,0.1,9.7,6.5,0.0,0.1,0.0236220472441
Dried-sausages,2.0,0.0,2092.0,42.0,17.0,7.2,6.6,1.1,24.0,1.45669291339
Chicken-eggs,0.0,0.0,647.0,9.0,2.5,0.1,0.1,0.5,12.6,0.149606299213
Plant-based foods and beverages,7.0,0.0,1056.0,3.8,0.7,43.1,3.1,3.9,8.9,0.295275590551
Frozen-bread,2.0,0.0,1483.0,16.6,10.1,42.0,4.1,2.1,8.1,0.295275590551
Sugary snacks,15.0,0.0,748.0,0.1,0.0,74.0,0.0,1.1,0.0,0.0
Sugary snacks,2.0,1.0,1521.0,4.0,2.0,76.0,73.0,8.0,1.0,0.0
Sugary snacks,7.0,0.0,1535.0,0.9,0.9,87.0,85.0,0.0,0.0,0.01
Sugary snacks,1.0,0.0,2276.0,37.1,22.8,41.0,34.1,9.9,7.5,0.00393700787402
Fresh-chicken,0.0,0.0,821.0,13.0,3.7,0.0,0.0,0.0,20.0,0.0984251968504
Sugary snacks,7.0,0.0,2148.0,25.6,11.3,64.0,62.4,2.3,5.5,0.0393700787402
Plant-based foods and beverages,0.0,0.0,2600.0,55.8,4.4,6.9,4.2,7.4,21.1,0.0
Plant-based foods and beverages,3.0,0.0,1050.0,0.0,0.0,61.2,48.6,0.5,0.3,0.0
Terrine,4.0,0.0,1330.0,29.0,11.0,2.0,1.0,0.5,13.0,0.866141732283
it:Prosciutto-cotto,4.0,0.0,621.0,7.0,2.7,0.9,0.9,0.0,20.0,0.669
Brie-cheese,0.0,0.0,1143.0,21.0,16.0,0.5,0.5,0.0,21.0,0.669291338583
Plant-based foods and beverages,3.0,0.0,1642.0,6.6,3.9,70.0,26.0,8.5,8.2,0.275590551181
Groceries,3.0,0.0,386.0,0.0,0.0,22.0,16.0,0.2,0.7,1.8
Frozen foods,0.0,0.0,399.0,3.1,0.3,10.2,1.6,1.8,6.1,0.2
Beverages,2.0,0.0,194.0,0.0,0.0,11.4,11.2,0.0,0.0,0.0212
Sugary snacks,4.0,0.0,1445.0,0.0,0.0,78.7,73.1,0.0,6.2,0.118
Meats,3.0,0.0,1630.0,36.0,14.0,1.0,1.0,0.5,17.0,0.9
fr:Viande-porc-salee,4.0,0.0,870.0,15.0,6.0,1.0,1.0,0.5,18.0,1.2
Meats,13.0,0.0,1247.0,22.0,9.0,14.0,1.0,1.0,11.0,0.590551181102
Dairies,0.0,0.0,1473.0,28.0,17.0,0.1,0.1,0.0,25.0,0.787401574803
Meats,3.0,0.0,1180.0,24.0,9.0,1.0,1.0,0.5,16.0,1.1
Puffed-corn-with-chocolate,0.0,0.0,1980.0,26.3,2.63,68.4,42.1,15.8,4.74,0.0526
Plant-based foods and beverages,3.0,0.0,300.0,2.5,1.0,11.0,8.0,6.0,1.0,0.787401574803
Fresh foods,1.0,0.0,1303.0,23.4,15.9,0.0,0.0,0.0,25.7,1.03
Fresh foods,2.0,0.0,1514.0,30.3,20.6,0.0,0.0,0.0,23.1,0.84
Fresh foods,0.0,0.0,1514.0,30.3,20.6,0.0,0.0,0.0,23.1,0.84
Fresh foods,1.0,0.0,1468.0,27.0,18.0,0.0,0.0,0.0,26.0,0.51
Fresh foods,0.0,0.0,1706.0,32.0,18.4,1.0,1.0,1.5,29.0,0.24
Fresh foods,0.0,0.0,460.0,0.78,0.21,0.41,0.1,0.4,25.0,0.073
Fresh foods,0.0,0.0,439.0,1.0,0.1,1.0,0.5,0.5,23.0,0.03
Meats,5.0,0.0,1170.0,26.0,5.0,1.0,1.0,0.5,11.0,0.76
Dairies,6.0,0.0,326.0,4.3,2.9,6.5,4.3,0.4,3.1,0.0511811023622
Meats,0.0,0.0,780.0,12.0,4.5,1.0,1.0,0.5,19.0,0.04
fr:Viande-porc-salee,4.0,0.0,669.0,10.0,4.0,1.0,1.0,0.5,17.0,2.0
Meats,6.0,0.0,477.0,3.5,1.5,1.5,1.0,0.5,19.0,0.51
Meats,1.0,0.0,1300.0,28.0,8.0,1.0,1.0,0.5,15.0,0.67
Frozen-peas,0.0,0.0,293.0,0.3,0.1,8.8,4.7,5.5,5.2,0.072
Frozen-peas,0.0,0.0,293.0,0.3,0.1,8.8,4.7,5.5,5.2,0.072
Frozen-corn-cobs,0.0,0.0,504.0,1.9,0.4,20.2,3.4,4.3,3.3,0.005
Beverages,0.0,0.0,2.0,0.0,0.0,0.1,0.0,0.0,0.0,0.015
Yaourt,0.0,0.0,270.0,3.5,2.1,5.0,5.0,0.0,3.5,0.0393700787402
Dairies,1.0,0.0,400.0,3.0,1.7,14.0,13.0,0.5,3.0,0.0393700787402
Dairies,1.0,0.0,397.0,2.9,1.7,14.0,14.0,0.5,3.0,0.04
Dairies,0.0,0.0,423.0,3.0,1.8,15.0,15.0,0.0,3.5,0.04
Plant-based foods and beverages,0.0,0.0,1483.0,1.3,0.2,76.0,0.1,0.8,7.9,0.0
Plant-based foods and beverages,0.0,0.0,1085.0,4.0,0.6,40.0,1.0,5.5,12.0,0.0
pt:Bolachas,0.0,0.0,1868.0,11.0,5.5,75.0,7.5,2.0,10.0,0.295275590551
Desserts,7.0,0.0,330.0,3.4,2.0,8.0,6.0,0.7,3.5,0.0393700787402
pt:Grao,1.0,0.0,446.0,2.6,0.5,12.0,0.5,6.1,5.9,0.181102362205
Plant-based foods and beverages,3.0,0.0,804.0,0.3,0.1,45.0,40.7,0.6,0.5,0.01
Plant-based foods and beverages,2.0,0.0,595.0,8.0,1.5,0.4,0.4,2.3,16.1,0.01
Meats,2.0,0.0,618.0,7.0,3.5,1.0,0.5,0.2,20.0,0.7
Desserts,9.0,0.0,330.0,2.8,1.6,10.0,8.0,0.5,3.0,0.0393700787402
Olives,5.0,0.0,601.0,15.0,3.0,0.5,0.0,2.5,1.0,1.49606299213
Olives,1.0,0.0,521.0,13.0,2.0,0.0,0.0,3.0,0.5,1.96850393701
Dairies,4.0,0.0,170.0,0.3,0.2,5.0,5.0,0.5,4.0,0.04
Dairies,0.0,0.0,423.0,3.0,1.8,15.0,15.0,0.0,3.5,0.04
Dairies,3.0,0.0,607.0,4.2,2.3,23.0,20.0,0.8,3.5,0.04
Dairies,0.0,0.0,1086.0,19.0,11.0,1.5,1.5,0.0,21.0,0.236220472441
Frozen foods,2.0,0.0,1131.0,10.6,3.7,32.6,5.8,2.2,9.8,0.511811023622
Dairies,0.0,0.0,1443.0,30.0,22.0,1.4,0.5,0.0,16.0,0.51
Dairies,0.0,0.0,240.0,2.6,1.5,5.0,5.0,0.0,3.5,0.0393700787402
Dairies,0.0,0.0,320.0,4.0,2.1,6.0,6.0,0.0,4.0,0.0393700787402
Dairies,3.0,0.0,650.0,7.0,4.5,5.0,4.5,0.0,18.0,0.984251968504
Dairies,0.0,0.0,1015.0,18.0,11.0,1.5,1.5,0.0,19.0,0.196850393701
Dairies,0.0,0.0,180.0,0.1,0.0,6.0,6.0,0.0,4.5,0.0393700787402
Dairies,1.0,0.0,210.0,0.1,0.0,6.0,6.0,3.0,4.5,0.0393700787402
Dairies,1.0,0.0,210.0,0.1,0.0,6.0,6.0,3.0,4.5,0.0393700787402
Dairies,1.0,0.0,210.0,0.1,0.0,6.0,6.0,3.0,4.5,0.0393700787402
Dairies,2.0,0.0,200.0,0.1,0.0,7.0,7.0,0.5,4.5,0.0393700787402
Dairies,0.0,0.0,320.0,4.0,2.1,6.0,6.0,0.0,4.0,0.0393700787402
Dairies,0.0,0.0,1015.0,18.0,11.0,1.5,1.5,0.0,19.0,0.236220472441
Beverages,2.0,0.0,251.0,0.9,0.5,10.0,10.0,0.5,2.5,0.04
Dairies,1.0,0.0,200.0,0.1,0.0,6.0,6.0,2.5,4.5,0.0393700787402
Dairies,0.0,0.0,700.0,8.0,5.0,1.5,1.5,0.0,22.0,0.196850393701
Dairies,2.0,0.0,160.0,0.1,0.1,6.0,6.0,0.5,3.5,0.0393700787402
Dairies,0.0,0.0,430.0,3.1,1.8,14.0,13.0,1.0,4.0,0.05
Dairies,2.0,0.0,190.0,0.1,0.0,7.0,7.0,0.5,3.5,0.0393700787402
Dairies,1.0,0.0,405.0,2.0,1.9,14.5,14.4,0.1,3.2,0.03
Frozen foods,0.0,0.0,934.0,8.5,2.6,27.9,4.9,2.0,7.6,0.374015748031
Sugary snacks,10.0,1.0,1790.0,20.0,8.6,58.0,28.0,2.0,4.1,0.0984251968504
Viande,0.0,0.0,429.0,1.0,0.2,1.0,0.0,0.3,21.9,0.4
Fresh foods,0.0,0.0,1549.0,29.0,19.0,0.0,0.0,0.0,28.0,0.24
Meats,0.0,0.0,756.0,11.5,3.8,0.1,0.1,0.5,19.1,0.0511811023622
Plant-based foods and beverages,0.0,0.0,1651.0,3.5,0.7,80.0,0.5,3.2,8.0,0.196850393701
Plant-based foods and beverages,0.0,0.0,1333.0,1.3,0.2,45.0,1.0,14.0,24.0,0.0196850393701
Sugary snacks,2.0,0.0,2010.0,22.0,9.0,60.0,27.0,5.0,8.0,0.110236220472
Meats,0.0,0.0,516.0,2.1,0.9,1.2,0.5,3.4,23.0,0.0512
Labeled products,0.0,0.0,540.0,9.31,2.41,0.69,0.69,0.0,11.0,0.121
Meats,1.0,0.0,632.0,7.0,3.0,1.0,0.8,0.0,21.0,0.866141732283
Meats,1.0,0.0,632.0,7.0,3.0,1.0,0.8,0.0,21.0,0.866141732283
Beverages,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
Frozen foods,0.0,0.0,851.0,14.5,5.2,1.7,1.1,0.0,16.5,0.4
Meats,0.0,0.0,515.0,3.8,1.7,0.0,0.0,0.0,22.0,0.0512
Breakfasts,0.0,0.0,2381.0,35.8,9.0,58.9,58.2,0.9,2.8,0.06
Plant-based foods and beverages,0.0,0.0,112.0,0.9,0.2,1.6,1.4,2.8,3.0,0.0
Plant-based foods and beverages,0.0,0.0,86.0,0.3,0.0,3.1,3.1,1.0,0.7,0.01
Plant-based foods and beverages,0.0,0.0,129.0,0.7,0.2,2.9,2.7,3.0,3.0,0.04
Beverages,0.0,0.0,236.0,1.2,0.8,10.0,4.1,0.2,1.2,0.0157480314961
Plant-based foods and beverages,1.0,0.0,1023.0,1.5,1.0,46.0,3.4,3.0,9.6,0.366141732283
Groceries,0.0,0.0,855.0,0.2,0.1,49.0,46.0,0.7,0.2,0.98
Meats,0.0,0.0,742.0,7.5,2.9,0.0,0.0,0.0,27.3,0.3
Sugary snacks,0.0,0.0,2215.0,32.0,5.3,44.0,36.0,7.7,13.0,0.011811023622
Meats,3.0,0.0,624.0,6.3,1.4,3.1,0.7,0.5,19.6,0.63
Seafood,0.0,0.0,1286.0,23.7,5.6,2.5,2.3,0.8,21.2,0.827
Seafood,0.0,0.0,304.0,0.9,0.4,0.1,0.1,0.0,15.9,0.0787
Seafood,2.0,0.0,741.0,7.2,1.7,15.3,12.2,0.0,12.7,1.26
Seafood,0.0,0.0,958.0,13.0,2.5,2.3,2.2,0.0,25.8,0.472
Seafood,0.0,0.0,1006.0,14.7,2.8,2.0,0.7,1.3,24.6,0.394
Seafood,0.0,0.0,959.0,15.1,3.5,0.1,0.1,0.0,23.4,0.276
Dairies,4.0,0.0,1684.0,34.5,24.0,1.0,1.0,1.0,22.5,0.6
es:Platos-prepardos,0.0,0.0,711.0,7.6,1.9,0.8,0.5,1.0,24.0,0.314960629921
Plant-based foods and beverages,0.0,0.0,242.0,0.1,0.0,13.1,13.1,0.8,0.4,0.001
Fruit juices,0.0,0.0,212.0,0.1,0.1,11.7,9.8,0.5,0.8,0.02
Dairies,0.0,0.0,1734.0,34.0,18.8,0.0,0.0,0.0,28.0,0.4
Fruit juices,0.0,0.0,69.0,0.0,0.0,2.9,2.9,0.8,0.8,0.24
Sugary snacks,3.0,0.0,821.0,0.2,0.025,45.0,42.0,2.2,0.8,0.025
Plant-based foods and beverages,3.0,0.0,1180.0,29.1,3.4,4.8,3.7,1.2,0.7,0.63
Pickles,0.0,0.0,242.0,0.1,0.1,11.0,10.0,3.8,1.2,0.393700787402
Groceries,1.0,0.0,587.0,3.2,0.3,26.2,24.5,0.9,0.2,0.37
Plant-based foods and beverages,1.0,0.0,644.0,2.7,0.2,29.9,0.1,0.6,2.7,0.2
Plant-based foods and beverages,0.0,0.0,1500.0,1.5,0.3,72.0,3.2,3.1,11.5,0.01
Beverages,0.0,0.0,5.0,0.1,0.1,0.05,0.05,0.1,0.1,0.0028
Plant-based foods and beverages,4.0,0.0,967.0,0.1,0.0,56.0,42.0,1.0,0.2,0.01
Plant-based foods and beverages,2.0,0.0,848.0,0.1,0.1,48.6,40.4,1.4,0.6,0.01
Beverages,0.0,0.0,181.0,1.2,0.3,6.3,4.7,0.2,1.9,0.03
Plant-based foods and beverages,3.0,0.0,156.0,0.5,0.3,5.4,1.0,1.4,3.1,0.3
Beverages,0.0,0.0,10.0,0.0,0.0,0.6,0.3,0.0,0.0,0.0
Plant-based foods and beverages,0.0,0.0,2525.0,51.1,4.5,15.8,2.8,5.8,18.8,0.0
Plant-based foods and beverages,0.0,0.0,2495.1,50.3,5.7,18.9,3.5,5.7,16.9,0.0
Dairies,0.0,0.0,660.0,15.0,9.9,3.3,3.3,0.0,2.9,0.05
Sugary snacks,3.0,0.0,2132.0,25.0,15.0,65.0,29.0,0.4,6.0,0.2
Plant-based foods and beverages,0.0,0.0,2260.0,34.7,5.7,49.3,0.4,3.6,6.5,0.354330708661
Plant-based foods and beverages,0.0,0.0,2680.0,51.1,4.1,29.2,9.6,8.0,15.7,0.0433070866142
es:Cacahuetes-con-cascara,0.0,0.0,2680.0,51.1,4.1,29.2,9.6,8.0,15.7,0.0
Plant-based foods and beverages,0.0,0.0,2434.0,46.1,0.0,14.2,0.0,8.8,24.5,0.393700787402
Plant-based foods and beverages,0.0,0.0,2278.0,35.0,3.6,49.0,0.9,4.5,6.7,0.590551181102
Plant-based foods and beverages,0.0,0.0,2350.0,39.0,4.0,46.0,0.8,4.2,5.4,0.590551181102
Groceries,0.0,0.0,95.0,0.1,0.0,3.6,3.6,1.0,1.3,0.28
Salty snacks,1.0,0.0,1915.0,12.7,5.5,79.1,2.0,1.4,6.2,0.5
Salty snacks,0.0,0.0,2033.0,22.8,2.8,62.4,1.7,5.6,5.1,0.314960629921
Sugary snacks,2.0,0.0,1871.0,31.0,19.0,46.0,1.0,15.0,6.0,0.0236220472441
Plant-based foods and beverages,0.0,0.0,295.0,0.1,0.1,15.7,15.0,1.1,0.6,0.011
Plant-based foods and beverages,0.0,0.0,326.0,1.7,0.25,12.2,8.6,0.2,3.2,0.00787401574803
Plant-based foods and beverages,2.0,0.0,359.0,1.8,0.9,14.7,1.8,5.3,7.9,0.2
Plant-based foods and beverages,1.0,0.0,370.0,0.3,0.1,14.4,0.3,2.4,9.2,0.3
Plant-based foods and beverages,0.0,0.0,1543.0,5.5,0.4,55.8,10.7,13.6,20.5,0.03
Green olives,5.0,0.0,521.0,11.0,2.0,3.7,0.0,2.5,1.4,1.37795275591
Pickles,2.0,0.0,414.0,2.0,0.2,10.5,0.5,3.0,9.6,1.7
Plant-based foods and beverages,0.0,0.0,1337.0,0.25,0.1,82.1,71.3,5.1,0.3,0.00472440944882
Green olives,2.0,0.0,664.0,17.0,3.0,0.0,0.0,2.3,1.0,1.6
Plant-based foods and beverages,0.0,0.0,2203.0,31.0,3.9,56.8,14.5,1.2,4.8,0.275590551181
Plant-based foods and beverages,0.0,0.0,2416.0,45.7,3.7,8.1,2.8,1.0,34.1,0.0
Dairies,6.0,0.0,326.0,1.7,0.25,12.2,8.6,0.2,3.2,0.008333
Plant-based foods and beverages,0.0,0.0,218.0,0.2,0.1,11.2,11.2,0.4,1.0,0.00833
Plant-based foods and beverages,0.0,0.0,131.0,0.4,0.0,3.2,1.6,1.8,2.8,0.10416
Plant-based foods and beverages,0.0,0.0,2293.0,36.9,3.1,33.5,30.9,12.9,15.0,0.00393700787402
Plant-based foods and beverages,0.0,0.0,186.0,0.5,0.1,4.6,0.8,4.6,3.1,0.05
Plant-based foods and beverages,0.0,0.0,116.0,0.2,0.0,3.5,1.2,3.0,1.5,0.0
Plant-based foods and beverages,0.0,0.0,169.0,0.0,0.0,5.0,0.0,4.1,3.0,0.01
Plant-based foods and beverages,0.0,0.0,293.0,0.3,0.0,8.8,4.7,5.5,5.2,0.07
Plant-based foods and beverages,0.0,0.0,201.0,0.4,0.1,5.8,2.8,4.3,3.1,0.04
Plant-based foods and beverages,0.0,0.0,384.0,0.6,0.1,10.3,1.2,6.5,7.9,0.01
Plant-based foods and beverages,0.0,0.0,313.0,0.6,0.1,12.1,12.1,4.4,1.4,0.01
Plant-based foods and beverages,0.0,0.0,257.0,3.8,0.4,4.1,2.5,3.3,1.2,0.02
Plant-based foods and beverages,0.0,0.0,129.0,0.3,0.1,2.4,1.5,3.0,3.1,0.02
Plant-based foods and beverages,0.0,0.0,2160.0,29.4,3.4,53.9,1.9,5.9,6.4,0.16
es:Pan-y-reposteria,1.0,0.0,1996.0,25.0,3.0,58.0,55.0,3.0,8.0,0.005
Plant-based foods and beverages,0.0,0.0,44.0,0.3,0.2,0.6,0.5,1.6,0.6,0.01
Plant-based foods and beverages,1.0,0.0,1417.0,4.4,0.8,46.6,22.8,28.8,13.6,0.314960629921
Fruit juices and nectars,0.0,0.0,109.0,0.1,0.1,6.4,5.1,0.5,0.5,0.01
Fruit juices,1.0,0.0,243.0,0.0,0.0,12.8,12.7,1.0,0.2,0.0
Groceries,0.0,0.0,249.0,3.4,0.4,5.5,4.8,0.7,1.4,0.322834645669
Fresh foods,2.0,0.0,515.0,0.8,0.0,5.8,1.9,0.7,22.0,0.275590551181
de:Rote-rubensaft,0.0,0.0,175.0,0.1,0.1,8.5,8.0,1.2,1.0,0.04
Plant-based foods and beverages,0.0,0.0,1724.0,14.0,1.9,54.0,5.1,11.0,12.0,0.106299212598
Fresh foods,2.0,0.0,490.0,3.5,2.0,0.2,0.2,0.0,21.0,0.71
Plant-based foods and beverages,5.0,1.0,1950.0,15.0,11.4,73.9,41.1,4.5,6.4,0.1
Plant-based foods and beverages,0.0,0.0,100.8,0.0,0.0,3.7,3.5,2.8,1.6,0.012
Plant-based foods and beverages,0.0,0.0,2465.0,50.0,7.6,10.0,0.2,11.0,21.0,0.0433070866142
Sugary snacks,7.0,0.0,1195.0,5.6,2.6,54.0,41.0,3.2,2.7,0.063
Canned foods,1.0,0.0,294.0,0.1,0.0,8.3,0.0,5.1,6.4,0.02
Desserts,5.0,0.0,1350.0,8.2,2.9,56.0,40.0,3.4,3.7,0.0787
Desserts,0.0,0.0,1222.0,22.0,14.5,19.0,16.0,0.1,4.5,0.04
Sugary snacks,8.0,0.0,1222.0,4.5,2.8,58.0,43.0,3.7,2.4,0.0669
Sugary snacks,8.0,0.0,1222.0,4.5,2.8,58.0,43.0,3.7,2.4,0.0669
Plant-based foods and beverages,1.0,0.0,560.0,0.7,0.2,20.0,0.6,6.6,8.3,0.17
Sugary snacks,17.0,0.0,1282.0,6.6,2.1,56.0,46.0,3.1,3.6,0.0512
Sugary snacks,2.0,0.0,1663.0,3.4,1.0,82.1,53.4,1.5,8.4,0.0728346456693
Frozen foods,0.0,0.0,369.0,0.6,0.1,2.4,0.1,0.5,18.0,0.255905511811
Plant-based foods and beverages,2.0,0.0,575.0,8.0,1.4,1.5,0.5,4.1,13.0,0.394
Fruit juices,0.0,0.0,183.0,0.08,0.04,10.3,10.0,0.08,0.2,0.004
Fruit juices,0.0,0.0,194.0,0.2,0.0,10.1,9.1,0.1,0.6,0.002
Fruit juices,1.0,0.0,192.0,0.2,0.04,9.3,9.3,0.4,0.7,0.02
Beverages,2.0,0.0,170.0,0.1,0.1,9.9,9.9,0.1,0.1,0.007
Beverages,4.0,0.0,179.0,0.1,0.0,10.3,9.3,0.1,0.1,0.025
Beverages,3.0,0.0,1182.0,0.1,0.1,69.5,65.0,0.0,0.1,0.1
Beverages,2.0,0.0,151.0,0.0,0.0,8.9,8.9,0.0,0.0,0.00591
Beverages,2.0,0.0,1288.0,0.1,0.1,75.0,74.0,0.0,0.1,0.1
Sweeteners,4.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8
Plant-based foods and beverages,0.0,0.0,1441.0,1.0,0.5,70.9,0.6,4.0,9.8,0.005
Dairies,0.0,0.0,195.0,1.6,1.0,4.8,4.8,0.0,3.2,0.0393700787402
Fresh foods,4.0,0.0,1063.0,20.0,7.5,1.0,1.0,0.0,18.0,0.68
Fresh foods,2.0,0.0,1288.0,27.0,10.8,1.0,0.9,0.0,16.0,0.74
Canned foods,7.0,0.0,408.0,7.5,2.9,1.1,0.4,1.8,5.7,0.433070866142
Canned foods,1.0,0.0,961.0,16.0,7.2,0.5,0.4,0.4,21.0,0.75
Meats,3.0,0.0,1532.0,26.2,10.2,5.7,3.6,2.2,26.4,1.88976377953
Meats,0.0,0.0,650.0,8.0,3.0,0.8,0.3,0.4,20.0,0.669291338583
Canned foods,2.0,0.0,1986.0,50.0,20.5,2.1,0.9,0.5,5.9,0.4
Meats,2.0,0.0,1874.0,38.0,15.0,2.5,2.0,1.0,25.0,1.87007874016
Fresh foods,3.0,0.0,1235.0,27.5,10.4,2.5,0.9,0.0,10.3,0.65
Seafood,1.0,0.0,526.0,3.1,1.0,7.0,0.1,0.1,17.2,0.39
Canned foods,3.0,0.0,1017.0,19.0,2.0,1.0,0.0,0.0,17.0,0.5
Meats,2.0,0.0,782.0,13.8,2.2,1.8,0.2,0.8,13.8,0.472
Canned foods,5.0,0.0,836.0,16.0,0.3,3.0,1.5,0.7,11.0,0.5
Dairies,0.0,0.0,1222.0,24.0,17.0,0.0,0.0,0.0,19.0,0.62
Fresh foods,0.0,0.0,346.0,1.8,1.2,13.1,12.5,0.0,3.3,0.05
fr:Bouchees,3.0,1.0,2307.0,36.2,19.2,48.0,1.2,2.5,7.6,0.53937007874
Fresh foods,1.0,0.0,1373.0,29.0,9.1,0.5,0.5,0.0,15.7,0.5
Meals,0.0,0.0,615.0,8.0,1.9,14.0,1.6,1.5,4.0,0.5
Meats,2.0,0.0,1105.0,8.6,2.8,2.5,1.9,0.0,44.0,1.8
Salty snacks,0.0,0.0,2025.0,23.6,3.3,52.3,1.4,5.0,13.1,0.72
Plant-based foods and beverages,4.0,0.0,1624.0,1.1,0.3,83.0,17.0,4.5,8.0,0.393700787402
Plant-based foods and beverages,0.0,0.0,1472.0,1.0,0.0,71.0,2.0,3.0,12.0,0.01
Plant-based foods and beverages,0.0,0.0,1551.0,2.0,0.4,72.5,3.5,4.0,12.5,0.01
Plant-based foods and beverages,0.0,0.0,1472.0,1.0,0.0,71.0,2.0,3.0,12.0,0.01
Plant-based foods and beverages,5.0,0.0,1739.0,8.0,4.6,75.0,22.0,5.5,7.3,0.354330708661
Plant-based foods and beverages,3.0,0.0,1482.0,4.0,1.6,65.0,17.5,8.8,9.3,0.00393700787402
Groceries,1.0,0.0,347.0,3.9,1.9,5.8,5.2,1.5,5.4,0.492125984252
Groceries,2.0,0.0,191.0,1.2,0.2,6.4,5.3,0.0,1.6,0.0
Groceries,6.0,0.0,722.0,15.7,1.1,7.2,3.8,0.6,0.8,0.93
Canned foods,3.0,0.0,692.0,11.7,4.7,2.7,0.2,1.1,12.0,0.4
Canned foods,4.0,0.0,467.0,4.3,1.8,7.5,1.2,2.4,9.5,0.42
Plant-based foods and beverages,0.0,0.0,349.0,2.0,0.8,12.1,1.3,1.8,3.7,0.314960629921
Canned foods,0.0,0.0,519.0,2.0,0.3,20.0,3.0,2.0,4.0,0.28
Plant-based foods and beverages,1.0,0.0,189.0,1.6,0.1,6.5,2.3,0.338,0.9,0.338582677165
Groceries,1.0,0.0,65.0,1.4,0.1,0.1,0.1,1.7,0.6,2.99212598425
Plant-based foods and beverages,2.0,0.0,152.0,1.0,0.7,5.7,0.7,0.5,0.8,0.28
Dried products,5.0,0.0,105.5,0.35,0.15,4.35,0.9,0.75,0.75,0.354330708661
Canned foods,10.0,0.0,331.0,3.0,1.0,7.0,2.2,1.2,5.4,0.39
Canned foods,1.0,0.0,584.0,9.7,1.5,1.3,0.8,0.5,11.7,0.33
Fresh foods,3.0,0.0,806.0,7.8,0.5,25.0,3.6,1.2,4.9,0.385826771654
Plant-based foods and beverages,1.0,0.0,55.0,0.1,0.1,1.3,1.3,1.0,1.8,0.6
Plant-based foods and beverages,0.0,0.0,258.0,0.1,0.1,13.8,13.8,1.6,0.4,0.006
Sugary snacks,3.0,1.0,2160.0,28.5,13.5,58.5,39.5,3.5,4.5,0.2
Sugary snacks,3.0,1.0,2146.0,26.4,16.1,60.0,27.0,4.0,6.9,0.3
Sugary snacks,2.0,0.0,1467.0,0.9,0.3,80.0,48.0,3.0,2.9,0.177
Sugary snacks,21.0,0.0,1555.0,3.7,3.5,80.0,64.0,0.9,2.5,0.03
fr:Mortadelle-de-bologne,2.0,0.0,1180.0,25.0,8.3,0.0,0.0,0.0,15.0,0.708661417323
Plant-based foods and beverages,2.0,0.0,1052.0,0.5,0.5,59.8,59.8,1.0,0.5,0.04
Plant-based foods and beverages,2.0,0.0,1001.0,0.1,0.05,57.0,57.0,0.1,0.6,0.01
Meats,1.0,0.0,653.0,8.0,2.8,1.0,0.8,0.0,20.0,0.787401574803
Fresh foods,1.0,0.0,1313.0,24.0,16.0,0.0,0.0,0.0,25.0,0.86
Groceries,0.0,0.0,423.0,0.1,0.05,18.4,18.2,2.4,5.1,0.02
Fish and meat and eggs,0.0,0.0,623.0,2.1,0.7,0.2,0.2,0.0,32.4,0.8
Beverages,1.0,0.0,1600.0,3.1,1.4,79.9,78.0,6.3,4.5,0.23
Beverages,1.0,0.0,1780.0,14.0,13.0,60.0,44.0,4.7,12.0,0.64
Plant-based foods and beverages,0.0,0.0,3389.0,91.6,13.7,0.0,0.0,0.0,0.0,0.0
fr:Gateaux-sec,5.0,1.0,1830.0,11.5,3.4,75.5,23.0,0.0,7.5,0.0236220472441
Sugary snacks,8.0,0.0,1610.0,10.0,6.0,69.0,52.0,2.0,3.0,0.05
Sugary snacks,4.0,1.0,2173.0,26.6,15.6,63.1,38.8,0.0,5.8,0.161417322835
Sugary snacks,9.0,1.0,1582.0,14.2,8.7,57.4,37.1,0.0,4.3,0.228346456693
