main_category_en,additives_n,ingredients_from_palm_oil_n,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,sodium_100g
Plant-based foods and beverages,0.0,0.0,386.0,1.54,0.0,15.4,2.31,4.62,4.62,0.1
Pies,10.0,0.0,1633.0,15.8,6.7,56.8,30.1,1.8,4.0,0.11
Plant-based foods and beverages,8.0,0.0,1170.0,3.49,0.0,53.5,4.65,2.33,9.3,0.535
Plant-based foods and beverages,0.0,0.0,1940.0,23.2,4.46,58.9,21.4,8.93,10.7,0.0
Salty snacks,1.0,0.0,879.0,14.0,2.0,22.5,0.0,1.0,3.0,0.195
Salty snacks,0.0,0.0,2090.0,32.1,8.93,53.6,0.0,3.57,3.57,0.393
Desserts,8.0,0.0,1299.0,7.3,3.4,56.1,43.1,3.0,3.0,0.0394
Desserts,8.0,0.0,1299.0,7.3,3.4,56.1,43.1,3.0,3.0,0.0394
Desserts,8.0,0.0,1299.0,7.3,3.4,56.1,43.1,3.0,3.0,0.0394
Beverages,0.0,0.0,199.0,0.625,0.0,8.75,7.92,0.0,2.08,0.0
Sugary snacks,0.0,0.0,2433.0,45.6,27.6,31.3,26.8,10.6,7.6,0.08
Sugary snacks,6.0,0.0,1928.0,17.7,10.1,68.5,44.4,2.7,5.1,0.318897637795
Diet-colas,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333
Tea-drinks,6.0,0.0,293.0,0.0,0.0,20.0,19.0,0.0,0.0,0.11
Beverages,1.0,0.0,139.0,0.152,0.0,6.97,6.36,0.0,0.303,0.00606
Plant-based foods and beverages,0.0,0.0,1493.0,3.2,0.7,71.0,0.7,3.7,8.1,0.0
Sugary snacks,4.0,0.0,1324.0,4.9,2.9,62.9,45.4,4.4,2.3,0.0787
Sugary snacks,4.0,0.0,1324.0,4.9,2.9,62.9,45.4,4.4,2.3,0.0787
Sugary snacks,8.0,0.0,1371.0,8.6,3.0,57.1,44.1,3.3,3.2,0.106
Plant-based foods and beverages,0.0,0.0,1515.0,1.7,0.5,73.1,3.5,2.5,12.3,0.0
Plant-based foods and beverages,0.0,0.0,679.0,0.6,0.1,33.6,0.6,1.4,4.4,0.0393700787402
Semolina,0.0,0.0,1474.0,1.8,0.3,69.9,0.5,2.1,11.9,0.0
