"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Monday, Apr 6","boxscore","CLE","@","HOU","L","0","2","","0-1","3","1.0","Keuchel","Kluber","Gregerson","2:30","N","43,753","-"
"2","2","Wednesday, Apr 8","boxscore","CLE","@","HOU","W","2","0","","1-1","3","1.0","Carrasco","Feldman","Allen","2:40","N","23,078","+"
"3","3","Thursday, Apr 9","boxscore","CLE","@","HOU","W","5","1","","2-1","3","1.0","Bauer","Wojciechowski","","3:08","D","22,593","++"
"4","4","Friday, Apr 10","boxscore","CLE","","DET","L","4","8","","2-2","3","2.0","Simon","McAllister","Soria","3:35","D","35,789","-"
"5","5","Saturday, Apr 11","boxscore","CLE","","DET","L","6","9","","2-3","3","3.0","Krol","Allen","","4:16","D","23,161","--"
"6","6","Sunday, Apr 12","boxscore","CLE","","DET","L","5","8","","2-4","3","4.0","Lobstein","House","Soria","3:13","D","19,555","---"
"7","7","Tuesday, Apr 14","boxscore","CLE","","CHW","L","1","4","","2-5","4","5.0","Quintana","Carrasco","Robertson","3:01","N","10,642","----"
"8","8","Wednesday, Apr 15","boxscore","CLE","","CHW","W","4","2","","3-5","3","4.5","Bauer","Danks","Allen","2:58","D","11,042","+"
"9","9","Friday, Apr 17","boxscore","CLE","@","MIN","L-wo","2","3","11","3-6","4","5.5","Boyer","Shaw","","3:38","N","21,307","-"
"10","10","Saturday, Apr 18","boxscore","CLE","@","MIN","W","4","2","","4-6","3","4.5","Salazar","Hughes","Allen","2:33","D","23,949","+"
"11","11","Sunday, Apr 19","boxscore","CLE","@","MIN","L","2","7","","4-7","4","5.5","May","House","","2:45","D","17,923","-"
"12","12","Monday, Apr 20","boxscore","CLE","@","CHW","L-wo","3","4","","4-8","5","6.5","Robertson","Allen","","2:53","N","13,055","--"
"13","13","Tuesday, Apr 21","boxscore","CLE","@","CHW","W","6","2","","5-8","3","5.5","Carrasco","Noesi","","3:07","N","14,032","+"
"14","14","Wednesday, Apr 22","boxscore","CLE","@","CHW","L","0","6","","5-9","5","5.5","Samardzija","Kluber","","2:56","D","14,429","-"
"15","15","Friday, Apr 24","boxscore","CLE","@","DET","W","13","1","","6-9","4","5.0","Salazar","Greene","","2:52","N","28,192","+"
"16","16","Saturday, Apr 25","boxscore","CLE","@","DET","L","1","4","","6-10","5","5.5","Simon","House","Soria","2:58","D","35,473","-"
"17","17","Sunday, Apr 26","boxscore","CLE","@","DET","L","6","8","","6-11","5","6.0","Lobstein","Carrasco","Soria","3:01","D","30,698","--"
"18","18","Monday, Apr 27","boxscore","CLE","","KCR","L","2","6","","6-12","5","7.0","Vargas","Kluber","","3:22","N","9,668","---"
"19","19","Tuesday, Apr 28","boxscore","CLE","","KCR","L","5","11","","6-13","5","7.5","Finnegan","Atchison","","3:13","N","10,698","----"
"20","20","Wednesday, Apr 29","boxscore","CLE","","KCR","W","7","5","","7-13","5","7.0","Salazar","Ventura","Allen","2:41","N","10,284","+"
"21","21","Thursday, Apr 30","boxscore","CLE","","TOR","L","1","5","","7-14","5","7.5","Francis","House","","2:46","N","9,798","-"
"22","22","Friday, May 1","boxscore","CLE","","TOR","W","9","4","","8-14","5","7.5","Carrasco","Buehrle","","2:37","N","15,088","+"
"23","23","Saturday, May 2","boxscore","CLE","","TOR","L","4","11","","8-15","5","7.5","Sanchez","Kluber","","3:23","D","18,008","-"
"24","24","Sunday, May 3","boxscore","CLE","","TOR","W","10","7","","9-15","4","7.0","Rzepczynski","Francis","","3:06","D","16,128","+"
"25","25","Tuesday, May 5","boxscore","CLE","@","KCR","L","3","5","","9-16","5","7.5","Vargas","Salazar","Davis","2:26","N","29,099","-"
"26","26","Wednesday, May 6","boxscore","CLE","@","KCR","W","10","3","","10-16","5","6.5","Carrasco","Duffy","","3:04","N","23,316","+"
"27","27","Thursday, May 7","boxscore","CLE","@","KCR","L","4","7","","10-17","5","7.5","Morales","Kluber","Holland","3:13","D","38,271","-"
"28","28","Friday, May 8","boxscore","CLE","","MIN","L","3","9","","10-18","5","8.0","Pelfrey","Bauer","","2:47","N","19,102","--"
"29","29","Saturday, May 9","boxscore","CLE","","MIN","L","4","7","","10-19","5","8.5","Hughes","Chen","Perkins","3:02","D","16,199","---"
"30","30","Sunday, May 10","boxscore","CLE","","MIN","W","8","2","","11-19","5","8.5","Salazar","May","","2:37","D","13,769","+"
"31","31","Tuesday, May 12","boxscore","CLE","","STL","L","3","8","","11-20","5","9.0","Lynn","Carrasco","","3:31","N","12,615","-"
"32","32","Wednesday, May 13","boxscore","CLE","","STL","W","2","0","","12-20","5","8.0","Kluber","Lackey","Allen","2:47","N","12,313","+"
"33","33","Thursday, May 14","boxscore","CLE","","STL","L","1","2","","12-21","5","9.0","Siegrist","Rzepczynski","Rosenthal","3:12","D","15,865","-"
"34","34","Friday, May 15","boxscore","CLE","@","TEX","W","8","3","","13-21","5","9.0","Webb","Rodriguez","","3:17","N","29,524","+"
"35","35","Saturday, May 16","boxscore","CLE","@","TEX","W","10","8","","14-21","5","8.0","Atchison","Feliz","Allen","3:37","N","31,045","++"
"36","36","Sunday, May 17","boxscore","CLE","@","TEX","L","1","5","","14-22","5","9.0","Martinez","Carrasco","","2:49","D","32,189","-"
"37","37","Monday, May 18","boxscore","CLE","@","CHW","L-wo","1","2","10","14-23","5","9.5","Duke","McAllister","","2:34","N","17,712","--"
