"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Garrett Richards, W (5-3)","6","6","3","3","3","4","1","3.26","27","99","59","36","8","15","10","10","6","0","49","","","-0.040","1.03","-0.6"
"Jose Alvarez, H (3)","0.2","0","0","0","0","0","0","3.74","1","4","3","1","2","0","1","0","0","0","","1","0","0.112","2.37","0.7"
"Fernando Salas, H (7)","0.1","0","0","0","0","0","0","4.29","1","3","3","1","0","2","0","1","0","0","","0","0","0.012","0.49","0.1"
"Joe Smith, H (15)","1","0","0","0","0","1","0","3.42","3","11","8","3","2","3","2","0","0","0","","0","0","0.069","0.93","0.5"
"Cam Bedrosian","1","0","0","0","0","1","0","3.52","3","14","8","5","0","3","1","1","1","0","","0","0","0.012","0.16","0.5"
