"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"C.J. Wilson","3","6","4","4","3","5","0","3.25","18","75","42","20","8","14","4","6","2","0","33","","","-0.262","1.41","-2.4"
"Matt Harrison","2.2","0","1","1","2","1","0","3.86","11","44","24","13","4","7","4","3","0","0","","0","0","0.066","0.96","0.8"
"Pedro Strop","0.1","0","0","0","1","1","0","9.82","2","10","5","1","2","2","0","0","0","0","","3","1","-0.056","2.61","-0.2"
"Alexi Ogando","0.1","1","0","0","0","0","0","1.38","2","5","3","3","0","0","0","2","0","0","","0","0","-0.021","0.89","-0.2"
"Michael Kirkman","1","0","0","0","2","1","0","0.82","5","23","13","7","2","4","1","1","0","0","","1","0","0.081","1.28","0.7"
"Dustin Nippert","0.1","1","0","0","0","0","0","5.04","2","10","6","3","1","2","0","2","1","0","","1","0","0.010","1.09","0.1"
"Clay Rapada","0.1","0","0","0","0","0","0","0.00","1","3","2","1","1","0","0","1","0","0","","2","0","0.047","1.80","0.5"
"Neftali Feliz","1","1","0","0","0","2","0","3.10","4","21","11","6","2","3","1","1","0","0","","0","0","0.145","2.00","0.5"
"Darren O'Day","1.1","0","0","0","0","3","0","2.04","4","15","11","5","4","2","0","1","0","0","","0","0","0.207","1.99","0.8"
"Darren Oliver","1.2","2","0","0","0","2","0","2.54","7","29","20","10","6","4","2","3","2","0","","0","0","0.229","2.76","0.8"
"Scott Feldman, W (7-10)","1","2","0","0","1","0","0","5.47","6","29","14","8","2","4","1","4","3","0","","0","0","0.145","4.04","0.5"
