"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Thursday, Apr 5","boxscore","DET","","BOS","W-wo","3","2","","1-0","1","up 0.5","Valverde","Melancon","","3:07","D","45,027","+"
"2","2","Saturday, Apr 7","boxscore","DET","","BOS","W","10","0","","2-0","1","up 1.0","Below","Beckett","","2:53","D","44,710","++"
"3","3","Sunday, Apr 8","boxscore","DET","","BOS","W-wo","13","12","11","3-0","1","up 1.0","Below","Melancon","","4:45","D","30,788","+++"
"4","4","Tuesday, Apr 10","boxscore","DET","","TBR","W","5","2","","4-0","1","up 1.5","Coke","McGee","Valverde","2:35","D","22,574","++++"
"5","5","Wednesday, Apr 11","boxscore","DET","","TBR","L","2","4","","4-1","1","up 1.0","Shields","Verlander","Rodney","2:48","D","28,180","-"
"6","6","Thursday, Apr 12","boxscore","DET","","TBR","W","7","2","","5-1","1","up 1.5","Balester","Niemann","","3:23","D","30,288","+"
"7","7","Friday, Apr 13","boxscore","DET","@","CHW","L","2","5","","5-2","1","up 0.5","Peavy","Scherzer","Santiago","2:55","D","38,676","-"
"8","8","Saturday, Apr 14","boxscore","DET","@","CHW","L","1","5","","5-3","2","0.5","Floyd","Wilk","","2:44","D","33,025","--"
"9","9","Sunday, Apr 15","boxscore","DET","@","CHW","W","5","2","","6-3","1","up 0.5","Porcello","Sale","","3:06","D","25,143","+"
"10","10","Monday, Apr 16","boxscore","DET","@","KCR","W","3","2","","7-3","1","up 1.5","Verlander","Duffy","","2:37","N","14,039","++"
"11","11","Tuesday, Apr 17","boxscore","DET","@","KCR","W","3","1","","8-3","1","up 2.0","Dotel","Chen","Valverde","2:50","N","13,851","+++"
"12","12","Wednesday, Apr 18","boxscore","DET","@","KCR","W","4","3","","9-3","1","up 2.5","Scherzer","Mijares","Valverde","3:06","N","14,083","++++"
"13","13","Thursday, Apr 19","boxscore","DET","","TEX","L","3","10","","9-4","1","up 2.0","Darvish","Wilk","","3:44","N","30,029","-"
