"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Max Scherzer","6","4","3","2","3","6","0","3.25","26","124","77","46","14","17","3","14","3","0","57","","","-0.008","1.14","-0.1"
"Al Alburquerque, H (15)","0.2","1","1","1","0","0","0","2.68","3","8","6","4","1","1","0","3","1","0","","0","0","0.055","1.96","0.3"
"Blaine Hardy, BS (1)","0.1","1","0","0","1","0","0","2.04","3","9","4","3","0","1","1","1","0","0","","1","1","-0.203","2.34","-0.8"
"Joba Chamberlain","1.1","0","0","0","0","1","0","3.42","4","20","14","7","4","3","1","2","0","0","","0","0","0.160","1.60","0.7"
"Phil Coke, W (4-2)","1.2","1","0","0","0","1","0","3.88","5","25","16","13","2","1","2","2","0","0","","0","0","0.210","2.04","0.7"
"Jim Johnson","1","0","0","0","0","2","0","7.08","3","9","8","3","2","3","0","1","1","0","","0","0","0.001","0.01","0.5"
