"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Sunday, Apr 4","boxscore","BOS","","NYY","W","9","7","","1-0","1","up 0.5","Okajima","Park","Papelbon","3:46","N","37,440","+"
"2","2","Tuesday, Apr 6","boxscore","BOS","","NYY","L","4","6","","1-1","2","0.5","Aceves","Okajima","Rivera","3:48","N","38,000","-"
"3","3","Wednesday, Apr 7","boxscore","BOS","","NYY","L","1","3","10","1-2","4","1.5","Park","Papelbon","Rivera","3:21","N","38,238","--"
"4","4","Friday, Apr 9","boxscore","BOS","@","KCR","L","3","4","","1-3","4","2.0","Parrish","Bard","Soria","2:46","N","21,091","---"
"5","5","Saturday, Apr 10","boxscore","BOS","@","KCR","W","8","3","","2-3","4","2.0","Beckett","Greinke","","2:47","N","37,505","+"
"6","6","Sunday, Apr 11","boxscore","BOS","@","KCR","W","8","6","","3-3","3","2.0","Buchholz","Meche","Papelbon","3:28","D","19,240","++"
"7","7","Monday, Apr 12","boxscore","BOS","@","MIN","L","2","5","","3-4","4","2.0","Pavano","Lester","Rauch","2:59","D","38,145","-"
"8","8","Wednesday, Apr 14","boxscore","BOS","@","MIN","W","6","3","","4-4","4","1.5","Lackey","Slowey","Papelbon","3:24","D","38,164","+"
"9","9","Thursday, Apr 15","boxscore","BOS","@","MIN","L","0","8","","4-5","4","2.5","Liriano","Wakefield","","2:38","D","38,341","-"
"10","10","Friday, Apr 16","boxscore","BOS","","TBR","L","1","3","12","4-6","4","3.0","Cormier","Delcarmen","Soriano","4:18","N","37,084","--"
"11","11","Saturday, Apr 17","boxscore","BOS","","TBR","L","5","6","","4-7","4","4.0","Shields","Buchholz","Soriano","3:19","N","37,022","---"
"12","12","Sunday, Apr 18","boxscore","BOS","","TBR","L","1","7","","4-8","4","5.0","Garza","Lester","","3:05","D","37,143","----"
"13","13","Monday, Apr 19","boxscore","BOS","","TBR","L","2","8","","4-9","4","6.0","Niemann","Lackey","","2:49","D","37,609","-----"
"14","14","Tuesday, Apr 20","boxscore","BOS","","TEX","W-wo","7","6","","5-9","4","5.5","Papelbon","Francisco","","3:46","N","37,614","+"
"15","15","Wednesday, Apr 21","boxscore","BOS","","TEX","W-wo","8","7","12","6-9","4","5.5","Okajima","Nippert","","3:49","N","37,518","++"
"16","16","Thursday, Apr 22","boxscore","BOS","","TEX","L","0","3","","6-10","4","6.0","Wilson","Buchholz","Oliver","2:58","N","37,417","-"
"17","17","Friday, Apr 23","boxscore","BOS","","BAL","W","4","3","","7-10","4","5.0","Delcarmen","Albers","Papelbon","3:35","N","37,367","+"
"18","18","Saturday, Apr 24","boxscore","BOS","","BAL","W","7","6","","8-10","4","5.0","Lackey","Albers","Papelbon","3:08","N","38,017","++"
"19","19","Sunday, Apr 25","boxscore","BOS","","BAL","L","6","7","10","8-11","4","6.0","Johnson","Atchison","Meredith","3:44","D","37,102","-"
"20","20","Monday, Apr 26","boxscore","BOS","@","TOR","W","13","12","","9-11","4","5.5","Schoeneweis","Camp","Papelbon","4:03","N","13,847","+"
"21","21","Tuesday, Apr 27","boxscore","BOS","@","TOR","W","2","1","","10-11","3","5.5","Buchholz","Downs","Ramirez","2:49","N","14,776","++"
"22","22","Wednesday, Apr 28","boxscore","BOS","@","TOR","W","2","0","","11-11","3","5.5","Lester","Cecil","Papelbon","2:54","N","15,276","+++"
"23","23","Friday, Apr 30","boxscore","BOS","@","BAL","L-wo","4","5","10","11-12","4","6.0","Albers","Ramirez","","3:35","N","30,668","-"
"24","24","Saturday, May 1","boxscore","BOS","@","BAL","L","9","12","","11-13","4","6.0","Bergesen","Matsuzaka","Simon","2:48","N","35,164","--"
"25","25","Sunday, May 2","boxscore","BOS","@","BAL","L-wo","2","3","10","11-14","4","7.0","Albers","Papelbon","","3:22","D","34,255","---"
"26","26","Monday, May 3","boxscore","BOS","","LAA","W","17","8","","12-14","4","6.5","Buchholz","Saunders","","3:38","N","37,404","+"
"27","27","Tuesday, May 4","boxscore","BOS","","LAA","W","5","1","","13-14","4","6.5","Lester","Jepsen","","2:56","N","37,411","++"
