"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Dallas Keuchel, W (11-9)","7","3","1","1","1","4","0","3.00","23","114","68","41","6","21","14","4","1","0","70","","","0.198","0.43","1.7"
"Jose Veras","1","0","0","0","0","2","0","4.14","3","13","8","1","2","5","0","1","0","0","","1","0","0.024","0.35","0.8"
"Tony Sipp","1","0","0","0","1","1","0","3.28","4","16","11","6","3","2","1","1","0","0","","0","0","0.006","0.11","0.4"
