"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"David Phelps","4.1","2","1","1","3","8","0","3.05","19","81","47","19","8","20","1","5","3","0","60","","","0.042","1.06","0.7"
"Clay Rapada","0","0","0","0","1","0","0","2.63","1","6","2","0","0","2","0","0","0","0","","1","0","-0.014","1.17","-0.2"
"Cody Eppley","1.2","1","0","0","0","3","0","2.95","6","30","18","10","6","2","2","1","0","0","","2","0","0.124","1.15","1.4"
"Boone Logan, W (3-0)","1","2","2","2","0","2","1","3.34","5","15","13","8","3","2","0","3","1","0","","0","0","-0.288","1.27","-1.5"
"David Robertson, H (8)","1","0","0","0","1","2","0","2.42","4","13","8","3","3","2","1","0","0","0","","0","0","0.137","1.97","0.5"
"Rafael Soriano, S (19)","1","0","0","0","0","1","0","1.72","3","10","6","2","2","2","1","1","0","0","","0","0","0.190","2.55","0.5"
