"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"T.J. House, L (0-1)","6","11","5","5","2","1","2","6.43","28","81","55","33","9","13","15","9","5","0","29","","","-0.323","1.00","-2.1"
"Mark Lowe","1","2","3","0","2","0","0","0.00","8","24","13","7","4","2","3","3","0","0","","0","0","-0.172","0.65","-2.5"
"Carlos Carrasco","1","1","0","0","0","0","0","5.50","3","6","6","4","0","2","2","1","1","0","","0","0","0.003","0.07","0.5"
