"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Justin Masterson","4","7","5","5","4","6","0","5.03","24","91","45","19","10","16","8","5","4","0","30","","","-0.276","1.54","-2.6"
"Kyle Crockett","1.1","3","1","1","0","0","0","2.89","7","31","18","11","1","6","6","1","0","0","","1","1","-0.179","2.08","-1.1"
"Vinnie Pestano","0.1","1","0","0","0","1","0","9.00","2","7","6","3","1","2","0","1","1","0","","2","1","-0.048","2.09","-0.1"
"Marc Rzepczynski","1.1","2","0","0","1","0","0","3.58","7","20","11","8","2","1","3","3","1","0","","2","0","0.083","1.10","0.9"
"Scott Atchison","1","1","0","0","0","0","0","3.18","3","11","8","5","1","2","2","1","0","0","","0","0","0.027","0.50","0.5"
"Cody Allen","1","0","0","0","0","2","0","2.70","3","15","10","3","4","3","0","1","0","0","","0","0","0.127","1.74","0.5"
"Bryan Shaw","1.1","2","2","2","2","1","1","2.75","8","34","19","9","4","6","1","4","1","0","","0","0","-0.239","2.15","-1.2"
"John Axford, BS (3)","0.2","1","0","0","1","2","0","3.82","4","22","11","6","4","1","0","1","1","0","","2","1","-0.053","5.87","0.1"
"Carlos Carrasco","2","0","0","0","0","0","0","4.11","6","30","21","14","2","5","3","3","1","0","","0","0","0.255","1.74","0.9"
"Mark Lowe, L (0-1)","0.1","2","1","1","1","0","0","3.86","4","17","7","4","2","1","0","3","1","0","","0","0","-0.373","3.78","-1.7"
