"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Nick Blackburn","2","6","6","6","2","2","0","8.37","13","53","33","20","4","9","3","6","3","0","20","","","-0.473","1.38","-5.0"
"Jeff Gray","2.1","2","1","1","0","0","0","2.12","9","25","14","10","0","4","4","5","1","0","","0","0","-0.073","0.96","-0.4"
"Alex Burnett, W (1-0)","1","0","0","0","2","0","0","2.61","5","22","10","8","0","2","2","1","0","0","","1","0","0.095","1.45","0.9"
"Brian Duensing, H (4)","1.1","2","0","0","0","1","0","1.89","6","25","17","10","2","5","2","3","1","0","","1","0","0.068","1.89","0.4"
"Jared Burton, H (6)","1.1","0","0","0","0","1","0","3.68","4","14","8","4","2","2","1","2","0","0","","2","0","0.201","1.80","1.1"
"Glen Perkins","1","1","0","0","0","0","0","4.80","3","10","7","4","1","2","1","2","1","0","","0","0","0.019","0.49","0.5"
