"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Liam Hendriks, L (0-5)","6.1","5","3","3","1","5","1","6.82","25","92","61","35","4","22","6","13","4","0","55","","","-0.051","0.73","-0.1"
"Jeff Gray","0.2","0","0","0","0","0","0","4.31","2","8","5","3","1","1","1","1","0","0","","1","0","0.020","0.43","0.5"
"Tyler Robertson","1","0","0","0","0","3","0","0.00","3","15","10","2","2","6","0","0","0","0","","0","0","0.014","0.18","0.5"
"Anthony Swarzak","1","0","0","0","0","0","0","4.75","3","14","10","7","1","2","0","3","0","0","","0","0","0.007","0.10","0.5"
