"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Friday, Apr 1","boxscore","BAL","@","TBR","W","4","1","","1-0","1","Tied","Guthrie","Price","","2:08","N","34,078","+"
"2","2","Saturday, Apr 2","boxscore","BAL","@","TBR","W","3","1","","2-0","1","Tied","Accardo","Shields","Gregg","2:51","N","22,164","++"
"3","3","Sunday, Apr 3","boxscore","BAL","@","TBR","W","5","1","","3-0","1","up 1.0","Britton","Davis","","2:42","D","17,408","+++"
"4","4","Monday, Apr 4","boxscore","BAL","","DET","W","5","1","","4-0","1","up 1.0","Arrieta","Porcello","","2:37","D","46,593","++++"
"5","5","Wednesday, Apr 6","boxscore","BAL","","DET","L","3","7","","4-1","1","Tied","Verlander","Bergesen","","2:51","N","12,451","-"
"6","6","Thursday, Apr 7","boxscore","BAL","","DET","W","9","5","","5-1","1","up 1.0","Johnson","Thomas","","3:25","N","11,648","+"
"7","7","Saturday, Apr 9 (1)","boxscore","BAL","","TEX","W","5","0","","6-1","1","up 1.0","Britton","Lewis","","2:22","D","","++"
"8","8","Saturday, Apr 9 (2)","boxscore","BAL","","TEX","L","1","13","","6-2","1","up 1.0","Harrison","Arrieta","","2:47","N","36,243","-"
"9","9","Sunday, Apr 10","boxscore","BAL","","TEX","L","0","3","","6-3","1","up 1.0","Holland","Guthrie","Feliz","2:42","D","21,452","--"
"10","10","Wednesday, Apr 13","boxscore","BAL","@","NYY","L","4","7","","6-4","1","Tied","Burnett","Tillman","Rivera","2:51","N","42,171","---"
"11","11","Thursday, Apr 14","boxscore","BAL","@","NYY","L-wo","5","6","10","6-5","2","1.0","Rivera","Gonzalez","","3:13","N","40,517","----"
"12","12","Friday, Apr 15","boxscore","BAL","@","CLE","L","2","8","","6-6","3","1.0","Masterson","Britton","","2:26","N","16,346","-----"
"13","13","Saturday, Apr 16","boxscore","BAL","@","CLE","L","3","8","","6-7","3","2.0","Tomlin","Guthrie","","2:36","D","10,714","------"
"14","14","Sunday, Apr 17","boxscore","BAL","@","CLE","L","2","4","","6-8","3","3.0","Hernandez","Bergesen","Perez","2:27","D","13,017","-------"
"15","15","Monday, Apr 18","boxscore","BAL","","MIN","L","3","5","","6-9","4","3.5","Liriano","Tillman","Capps","2:50","N","13,138","--------"
"16","16","Tuesday, Apr 19","boxscore","BAL","","MIN","W","11","0","","7-9","4","2.5","Arrieta","Pavano","","2:50","N","12,045","+"
