"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Rick van den Hurk, L (0-1)","4","4","3","3","2","5","0","5.09","19","87","52","35","7","10","3","8","1","0","45","","","-0.145","1.04","-1.0"
"Alfredo Simon","0.1","0","0","0","0","0","0","4.93","2","6","2","1","1","0","0","1","0","0","","0","0","-0.001","0.49","-0.0"
"Matt Albers","1.2","3","2","2","0","1","0","4.50","6","28","17","12","2","3","2","3","1","0","","1","0","-0.061","0.72","-1.0"
"David Hernandez","2","2","0","0","0","0","0","4.31","7","29","22","15","3","4","2","5","2","0","","0","0","0.013","0.12","1.0"
