"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Brian Matusz, W (3-9)","7","2","0","0","3","8","0","4.56","27","111","70","40","10","20","6","9","2","0","78","","","0.450","1.26","3.7"
"Jason Berken","1.1","1","1","1","0","0","1","1.75","5","16","10","8","0","2","0","5","0","0","","0","0","0.031","0.28","-0.2"
"Will Ohman","0.1","0","0","0","0","1","0","2.88","1","5","3","0","1","2","0","0","0","0","","0","0","0.002","0.10","0.2"
"Alfredo Simon","0.1","0","0","0","1","1","0","3.10","2","9","5","1","1","3","0","0","0","0","","0","0","0.001","0.05","0.1"
