"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Kevin Millwood, L (2-11)","5.2","11","5","5","0","3","1","6.05","27","96","66","45","8","13","7","17","7","0","30","","","-0.297","0.80","-2.5"
"Mark Hendrickson","0.1","0","0","0","0","1","0","5.31","1","4","3","0","1","2","0","0","0","0","","2","0","0.024","0.96","0.4"
"Jason Berken","1","0","0","0","0","0","0","2.75","3","10","7","3","1","3","1","2","1","0","","0","0","0.042","0.56","0.5"
"Mike Gonzalez","1","0","0","0","0","0","0","5.40","3","10","7","3","2","2","1","2","0","0","","0","0","0.030","0.40","0.5"
