"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Jake Arrieta, L (2-2)","6","7","4","3","4","2","0","5.81","28","99","55","33","6","16","11","11","3","0","42","","","-0.183","0.91","-1.0"
"Frank Mata","0.1","4","4","4","0","1","0","8.03","6","22","17","12","2","3","3","1","0","0","","0","0","-0.091","0.48","-3.7"
"Matt Albers","1.2","2","0","0","1","1","0","5.35","7","30","18","11","3","4","3","2","0","0","","2","1","-0.001","0.05","0.7"
"Koji Uehara","1","2","0","0","0","2","0","2.57","5","28","19","10","4","5","1","2","2","0","","0","0","0.000","0.00","0.5"
