"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Monday, Mar 31","boxscore","OAK","","CLE","L","0","2","","0-1","3","1.0","Allen","Johnson","Axford","3:15","N","36,067","-"
"2","2","Wednesday, Apr 2 (1)","boxscore","OAK","","CLE","W","6","1","","1-1","4","2.0","Kazmir","Kluber","","3:05","D","15,134","+"
"3","3","Wednesday, Apr 2 (2)","boxscore","OAK","","CLE","L","4","6","","1-2","4","2.0","Allen","Johnson","Axford","3:33","N","12,198","-"
"4","4","Thursday, Apr 3","boxscore","OAK","","SEA","W-wo","3","2","12","2-2","4","1.0","Pomeranz","Noesi","","4:02","N","11,236","+"
"5","5","Saturday, Apr 5","boxscore","OAK","","SEA","L","1","3","","2-3","2","2.0","Hernandez","Straily","Rodney","2:22","D","30,290","-"
"6","6","Sunday, Apr 6","boxscore","OAK","","SEA","W","6","3","","3-3","2","1.0","Gray","Ramirez","Johnson","2:57","D","32,852","+"
"7","7","Monday, Apr 7","boxscore","OAK","@","MIN","W","8","3","","4-3","2","0.5","Kazmir","Correia","","3:05","D","35,837","++"
"8","8","Wednesday, Apr 9","boxscore","OAK","@","MIN","W","7","4","11","5-3","1","Tied","Otero","Burton","","3:41","D","22,973","+++"
"9","9","Thursday, Apr 10","boxscore","OAK","@","MIN","W","6","1","","6-3","1","up 0.5","Straily","Pelfrey","","2:51","D","20,650","++++"
"10","10","Friday, Apr 11","boxscore","OAK","@","SEA","L","4","6","","6-4","2","0.5","Hernandez","Milone","Rodney","3:09","N","38,968","-"
"11","11","Saturday, Apr 12","boxscore","OAK","@","SEA","W","3","1","","7-4","1","up 0.5","Gray","Ramirez","Gregerson","3:08","N","22,061","+"
"12","12","Sunday, Apr 13","boxscore","OAK","@","SEA","W","3","0","","8-4","1","up 1.5","Otero","Furbush","Doolittle","2:44","D","22,628","++"
"13","13","Monday, Apr 14","boxscore","OAK","@","LAA","W","3","2","","9-4","1","up 1.5","Johnson","Frieri","Gregerson","2:56","N","37,120","+++"
"14","14","Tuesday, Apr 15","boxscore","OAK","@","LAA","W","10","9","11","10-4","1","up 2.5","Johnson","Herrera","","4:12","N","34,887","++++"
"15","15","Wednesday, Apr 16","boxscore","OAK","@","LAA","L-wo","4","5","12","10-5","1","up 2.0","Smith","Pomeranz","","4:19","N","37,344","-"
"16","16","Friday, Apr 18","boxscore","OAK","","HOU","W","11","3","","11-5","1","up 1.5","Gray","Cosart","","3:22","N","18,234","+"
