"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Thursday, Mar 31","boxscore","KCR","","LAA","L","2","4","","0-1","4","0.5","Weaver","Hochevar","Rodney","3:15","D","40,055","-"
"2","2","Friday, Apr 1","boxscore","KCR","","LAA","W-wo","2","1","","1-1","2","0.5","Soria","Kohn","","2:23","N","13,302","+"
"3","3","Saturday, Apr 2","boxscore","KCR","","LAA","W","5","4","","2-1","2","0.5","Crow","Jepsen","Soria","2:45","D","17,328","++"
"4","4","Sunday, Apr 3","boxscore","KCR","","LAA","W-wo","12","9","13","3-1","1","up 0.5","Collins","Bulger","","4:46","D","14,085","+++"
"5","5","Tuesday, Apr 5","boxscore","KCR","","CHW","W-wo","7","6","12","4-1","1","up 1.5","Jeffress","Pena","","3:32","N","12,641","++++"
"6","6","Wednesday, Apr 6","boxscore","KCR","","CHW","L","7","10","12","4-2","1","up 0.5","Sale","O'Sullivan","","3:41","D","13,360","-"
"7","7","Friday, Apr 8","boxscore","KCR","@","DET","L","2","5","","4-3","2","1.0","Scherzer","Davies","Valverde","3:00","D","44,799","--"
"8","8","Saturday, Apr 9","boxscore","KCR","@","DET","W","3","1","","5-3","2","1.0","Chen","Coke","Soria","2:29","D","33,810","+"
"9","9","Sunday, Apr 10","boxscore","KCR","@","DET","W","9","5","","6-3","2","1.0","Hochevar","Porcello","Soria","3:02","D","28,984","++"
"10","10","Tuesday, Apr 12","boxscore","KCR","@","MIN","L-wo","3","4","10","6-4","3","1.5","Hughes","Tejeda","","3:17","N","38,154","-"
"11","11","Wednesday, Apr 13","boxscore","KCR","@","MIN","W","10","5","","7-4","2","0.5","Davies","Liriano","Jeffress","2:46","D","36,286","+"
"12","12","Thursday, Apr 14","boxscore","KCR","","SEA","W","5","1","8","8-4","1","Tied","Chen","Fister","","1:53","N","8,811","++"
"13","13","Friday, Apr 15","boxscore","KCR","","SEA","W","6","5","","9-4","1","Tied","Hochevar","Bedard","Soria","2:55","N","13,686","+++"
"14","14","Saturday, Apr 16","boxscore","KCR","","SEA","W","7","0","","10-4","1","Tied","O'Sullivan","Hernandez","","2:46","D","22,364","++++"
"15","15","Sunday, Apr 17","boxscore","KCR","","SEA","L","2","3","","10-5","2","1.0","Pineda","Francis","League","2:46","D","19,424","-"
"16","16","Monday, Apr 18","boxscore","KCR","","CLE","L","3","7","10","10-6","2","2.0","Smith","Collins","","3:27","N","12,214","--"
"17","17","Tuesday, Apr 19","boxscore","KCR","","CLE","W","5","4","","11-6","2","1.0","Chen","Gomez","Soria","2:45","N","10,506","+"
"18","18","Wednesday, Apr 20","boxscore","KCR","","CLE","L","5","7","","11-7","2","2.0","Masterson","Hochevar","Perez","3:14","N","10,080","-"
"19","19","Thursday, Apr 21","boxscore","KCR","","CLE","W-wo","3","2","","12-7","2","1.0","Crow","Perez","","2:37","N","9,279","+"
"20","20","Friday, Apr 22","boxscore","KCR","@","TEX","L","6","11","","12-8","2","1.5","Holland","Francis","","2:59","N","45,769","-"
