"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"111","111","Sunday, Aug 8","boxscore","TBR","@","TOR","L","0","1","","67-44","2","2.5","Morrow","Sonnanstine","","2:29","D","22,313","-----"
"112","112","Monday, Aug 9","boxscore","TBR","@","DET","W","6","3","","68-44","2","1.5","Price","Galarraga","Soriano","3:13","N","23,932","+"
"113","113","Tuesday, Aug 10","boxscore","TBR","@","DET","W","8","0","","69-44","2","0.5","Hellickson","Scherzer","","2:49","N","26,114","++"
"114","114","Wednesday, Aug 11","boxscore","TBR","@","DET","L","2","3","","69-45","2","1.5","Verlander","Garza","Valverde","3:11","D","28,815","-"
"115","115","Friday, Aug 13","boxscore","TBR","","BAL","L","0","5","","69-46","2","2.0","Guthrie","Shields","","2:44","N","24,277","--"
"116","116","Saturday, Aug 14","boxscore","TBR","","BAL","W","7","3","","70-46","2","2.0","Sonnanstine","Matusz","","3:02","D","36,189","+"
"117","117","Sunday, Aug 15","boxscore","TBR","","BAL","W","3","2","","71-46","2","1.0","Hellickson","Arrieta","Soriano","3:00","D","29,654","++"
"118","118","Monday, Aug 16","boxscore","TBR","","TEX","W","6","4","","72-46","1","Tied","Cormier","Lee","Soriano","3:02","N","18,319","+++"
"119","119","Tuesday, Aug 17","boxscore","TBR","","TEX","W","10","1","","73-46","1","Tied","Garza","Hunter","","3:31","N","18,156","++++"
"120","120","Wednesday, Aug 18","boxscore","TBR","","TEX","W","8","6","","74-46","1","Tied","Shields","Holland","Soriano","3:14","D","19,413","+++++"
"121","121","Thursday, Aug 19","boxscore","TBR","@","OAK","L","3","4","","74-47","2","1.0","Cahill","Wheeler","Blevins","2:27","N","10,118","-"
"122","122","Friday, Aug 20","boxscore","TBR","@","OAK","L","4","5","","74-48","2","1.0","Rodriguez","Benoit","Breslow","3:01","N","13,207","--"
"123","123","Saturday, Aug 21","boxscore","TBR","@","OAK","W","5","4","","75-48","2","1.0","Choate","Breslow","Soriano","3:00","N","16,202","+"
"124","124","Sunday, Aug 22","boxscore","TBR","@","OAK","W","3","2","","76-48","2","1.0","Garza","Braden","Soriano","2:34","D","18,749","++"
"125","125","Monday, Aug 23","boxscore","TBR","@","LAA","W","4","3","","77-48","1","Tied","Shields","Kazmir","Soriano","3:08","N","39,127","+++"
"126","126","Tuesday, Aug 24","boxscore","TBR","@","LAA","W","10","3","","78-48","1","Tied","Davis","Santana","","3:11","N","43,577","++++"
"127","127","Wednesday, Aug 25","boxscore","TBR","@","LAA","L","3","12","","78-49","1","Tied","Haren","Niemann","","3:19","D","37,009","-"
"128","128","Friday, Aug 27","boxscore","TBR","","BOS","L","1","3","","78-50","1","Tied","Lester","Price","Papelbon","2:55","N","29,461","--"
"129","129","Saturday, Aug 28","boxscore","TBR","","BOS","W-wo","3","2","10","79-50","1","Tied","Choate","Atchison","","3:17","N","36,973","+"
"130","130","Sunday, Aug 29","boxscore","TBR","","BOS","W","5","3","","80-50","1","Tied","Shields","Lackey","Soriano","2:52","N","23,438","++"
"131","131","Monday, Aug 30","boxscore","TBR","","TOR","W","6","2","","81-50","1","Tied","Davis","Cecil","","2:14","N","11,968","+++"
"132","132","Tuesday, Aug 31","boxscore","TBR","","TOR","L","5","13","","81-51","2","1.0","Romero","Niemann","","2:57","N","12,972","-"
"133","133","Wednesday, Sep 1","boxscore","TBR","","TOR","W","2","1","","82-51","2","1.0","Price","Camp","Soriano","2:54","N","14,859","+"
"134","134","Friday, Sep 3","boxscore","TBR","@","BAL","W","4","1","","83-51","2","1.5","Garza","Millwood","Soriano","3:05","N","13,507","++"
"135","135","Saturday, Sep 4","boxscore","TBR","@","BAL","L","4","8","","83-52","2","2.5","Guthrie","Shields","","2:49","N","18,943","-"
"136","136","Sunday, Sep 5","boxscore","TBR","@","BAL","L","7","8","","83-53","2","2.5","Simon","Wheeler","Uehara","3:16","D","28,268","--"
"137","137","Monday, Sep 6","boxscore","TBR","@","BOS","L","5","12","","83-54","2","2.5","Lester","Niemann","","3:29","N","37,546","---"
"138","138","Tuesday, Sep 7","boxscore","TBR","@","BOS","W","14","5","","84-54","2","1.5","Price","Matsuzaka","","3:16","N","37,290","+"
"139","139","Wednesday, Sep 8","boxscore","TBR","@","BOS","L","5","11","","84-55","2","2.5","Wakefield","Garza","","3:17","N","37,757","-"
"140","140","Friday, Sep 10","boxscore","TBR","@","TOR","W","9","8","","85-55","2","1.5","Benoit","Gregg","Soriano","3:01","N","14,305","+"
"141","141","Saturday, Sep 11","boxscore","TBR","@","TOR","W","13","1","","86-55","2","0.5","Davis","Romero","","3:00","D","17,632","++"
"142","142","Sunday, Sep 12","boxscore","TBR","@","TOR","L-wo","4","5","","86-56","2","0.5","Gregg","Soriano","","3:02","D","14,658","-"
"143","143","Monday, Sep 13","boxscore","TBR","","NYY","W-wo","1","0","11","87-56","1","up 0.5","Balfour","Mitre","","3:29","N","26,907","+"
