"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Brandon Morrow, W (3-4)","6.2","5","0","0","1","6","0","5.02","26","101","66","43","10","13","11","7","4","0","69","","","0.245","0.93","2.6"
"Jason Frasor, H (6)","0.1","0","0","0","0","0","0","2.83","1","2","2","2","0","0","0","1","0","0","","3","0","0.062","2.44","0.8"
"Jon Rauch","2","2","0","0","0","1","0","4.20","8","29","20","13","1","6","4","3","0","0","","0","0","0.042","0.48","1.0"
