"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"James Shields","7","6","1","1","1","7","0","3.58","27","105","74","41","17","16","12","7","3","0","67","","","0.313","1.07","2.1"
"Wade Davis, W (6-2)","1","0","0","0","0","1","0","1.05","3","8","6","3","2","1","1","1","0","0","","0","0","0.100","1.37","0.5"
"Greg Holland, S (26)","1","0","0","0","0","2","0","1.72","3","14","9","3","2","4","1","0","0","0","","0","0","0.183","2.49","0.5"
