"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Blake Beavan, W (3-4)","6","8","5","5","0","2","0","4.72","26","79","58","42","2","14","11","13","4","0","38","","","0.070","0.14","-1.8"
"Hisashi Iwakuma, S (1)","3","5","3","3","1","0","0","6.00","15","41","26","15","4","7","6","7","3","0","","0","0","0.000","0.01","-1.4"
