"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Doug Fister, L (3-7)","5","5","5","2","1","3","2","3.57","22","82","54","26","2","26","10","8","2","0","45","","","-0.217","0.54","-2.6"
"Jamey Wright","1","1","0","0","1","1","0","4.75","5","24","14","9","1","4","2","1","1","0","","0","0","0.028","0.59","0.5"
"Garrett Olson","1","1","0","0","1","0","0","5.30","5","21","11","7","0","4","4","0","0","0","","0","0","0.023","0.41","0.5"
"Brian Sweeney","1","1","0","0","0","0","0","3.92","4","9","6","4","0","2","1","3","0","0","","0","0","0.013","0.17","0.5"
