"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Doug Fister, L (3-4)","4.2","6","5","5","3","5","0","3.22","23","99","61","40","4","17","7","8","3","0","34","","","-0.306","0.77","-3.1"
"Chad Cordero","1.1","1","0","0","0","2","0","2.70","4","20","11","9","1","1","2","0","0","0","","2","0","0.025","0.25","1.1"
"Sean White","0.2","2","2","2","0","1","1","7.58","4","21","10","6","1","3","1","2","1","0","","0","0","-0.021","0.09","-1.6"
"Garrett Olson","0.1","1","0","0","0","0","0","5.79","2","5","3","3","0","0","1","1","1","0","","0","0","0.000","0.02","0.1"
"Brandon League","1","0","0","0","0","1","0","3.00","3","8","5","2","2","1","2","0","0","0","","0","0","0.001","0.01","0.5"
