"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Felix Hernandez","7","5","1","1","0","10","1","1.99","25","102","66","32","14","20","11","4","3","0","73","","","0.244","0.88","2.1"
"Brandon Maurer","1","0","0","0","0","0","0","5.13","3","18","11","8","1","2","1","2","1","0","","0","0","0.099","1.37","0.4"
"Fernando Rodney","1","0","0","0","0","1","0","2.27","3","16","11","8","1","2","1","1","1","0","","0","0","0.125","1.71","0.4"
"Charlie Furbush, L (1-5)","0","1","1","1","0","0","1","3.90","1","4","3","1","1","1","0","1","0","0","","0","0","-0.352","2.23","-1.0"
"Danny Farquhar","1","0","0","0","0","1","0","2.74","3","8","6","4","1","1","2","0","0","0","","0","0","0.032","0.44","0.4"
