"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Brandon Maurer","4.1","2","1","1","2","4","0","2.08","16","63","36","18","7","11","6","4","2","0","57","","","-0.031","1.01","0.1"
"Dominic Leone","1.1","1","0","0","1","2","0","0.93","6","25","17","6","5","6","2","1","1","0","","2","0","0.177","2.04","1.1"
"Joe Beimel, H (2)","0.1","0","0","0","0","0","0","1.93","1","1","1","1","0","0","1","0","0","0","","2","0","0.088","3.31","0.5"
"Danny Farquhar, H (2)","0.2","0","0","0","1","0","0","0.93","3","15","7","6","0","1","1","1","0","0","","0","0","0.053","1.40","0.2"
"Charlie Furbush, H (5)","0.1","1","1","1","0","0","0","6.00","2","5","3","2","0","1","1","1","0","0","","1","0","-0.128","2.13","-0.4"
"Tom Wilhelmsen, BS (2), L (0-1)","1","0","1","1","2","0","0","4.91","6","26","11","6","1","4","1","3","1","0","","1","1","-0.394","4.18","-0.9"
