"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Alex Cobb, L (10-9)","6","10","4","4","0","5","2","2.87","27","91","67","43","8","16","13","9","6","0","41","","","-0.200","0.87","-1.1"
"Jeff Beliveau","0.1","3","3","3","1","1","0","2.63","5","20","13","7","1","5","2","1","1","0","","0","0","-0.088","0.47","-2.7"
"Brandon Gomes","0.2","0","0","0","0","1","0","3.71","3","10","5","2","3","0","1","1","0","0","","2","1","-0.003","0.13","0.2"
"C.J. Riefenhauser","1","1","0","0","0","0","0","8.44","4","18","14","8","1","5","0","4","3","0","","0","0","0.001","0.01","0.5"
