"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Monday, Apr 1","boxscore","SEA","@","OAK","W","2","0","","1-0","1","Tied","Hernandez","Anderson","Wilhelmsen","2:46","N","36,067","+"
"2","2","Tuesday, Apr 2","boxscore","SEA","@","OAK","W","7","1","","2-0","1","up 0.5","Iwakuma","Parker","","3:16","N","15,315","++"
"3","3","Wednesday, Apr 3","boxscore","SEA","@","OAK","L","2","6","","2-1","1","Tied","Milone","Saunders","","2:50","N","15,162","-"
"4","4","Thursday, Apr 4","boxscore","SEA","@","OAK","L","2","8","","2-2","2","0.5","Griffin","Maurer","","2:32","D","12,134","--"
"5","5","Friday, Apr 5","boxscore","SEA","@","CHW","W","8","7","10","3-2","2","0.5","Loe","Jones","Wilhelmsen","3:42","N","15,312","+"
"6","6","Saturday, Apr 6","boxscore","SEA","@","CHW","L","3","4","","3-3","3","1.0","Veal","Hernandez","Reed","3:07","D","22,461","-"
"7","7","Sunday, Apr 7","boxscore","SEA","@","CHW","L-wo","3","4","10","3-4","3","2.0","Reed","Loe","","2:52","D","18,708","--"
"8","8","Monday, Apr 8","boxscore","SEA","","HOU","W","3","0","","4-4","3","1.5","Saunders","Humber","Wilhelmsen","2:40","N","42,589","+"
"9","9","Tuesday, Apr 9","boxscore","SEA","","HOU","L","9","16","","4-5","3","2.5","Clemens","Maurer","","3:36","N","10,765","-"
"10","10","Wednesday, Apr 10","boxscore","SEA","","HOU","L","3","8","","4-6","3","3.5","Peacock","Beavan","","3:38","N","10,496","--"
"11","11","Thursday, Apr 11","boxscore","SEA","","TEX","L","3","4","","4-7","3","4.5","Ortiz","Hernandez","Nathan","3:11","N","22,939","---"
"12","12","Friday, Apr 12","boxscore","SEA","","TEX","W","3","1","","5-7","3","4.5","Iwakuma","Darvish","Wilhelmsen","2:49","N","15,028","+"
"13","13","Saturday, Apr 13","boxscore","SEA","","TEX","L","1","3","","5-8","3","4.5","Ortiz","Capps","Nathan","2:55","N","23,506","-"
