"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Jason Hammel","5","6","3","2","0","3","0","5.07","22","77","52","30","7","15","7","12","3","0","48","","","-0.139","0.72","-0.7"
"Troy Patton","0.2","0","0","0","1","0","0","3.74","3","8","4","2","1","1","1","1","0","0","","0","0","0.012","1.04","0.2"
"Francisco Rodriguez","0.1","0","0","0","0","0","0","2.22","1","6","5","4","0","1","0","1","0","0","","1","0","0.032","1.16","0.3"
"Kevin Gausman, BS (2)","1","2","1","1","0","2","0","5.72","5","27","18","12","4","2","1","2","2","0","","0","0","-0.151","2.32","-0.5"
"Tommy Hunter","2","1","0","0","0","1","0","2.67","7","20","17","12","1","4","4","2","2","0","","0","0","0.234","2.37","0.9"
"Darren O'Day","1","0","0","0","0","1","0","2.23","3","13","7","2","4","1","0","2","0","0","","0","0","0.131","1.77","0.5"
"Brian Matusz","0.2","0","0","0","0","2","0","3.31","2","11","7","3","3","1","0","0","0","0","","0","0","0.098","1.98","0.4"
"Josh Stinson","2.1","0","0","0","0","2","0","3.38","7","28","16","9","4","3","3","2","1","0","","0","0","0.296","1.70","1.0"
"T.J. McFarland","2","2","0","0","3","1","0","4.21","11","48","26","17","4","5","7","0","0","0","","0","0","0.262","3.06","0.9"
"Bud Norris, L (10-12)","2.1","3","1","1","2","3","0","4.12","12","54","32","14","10","8","4","3","2","0","","0","0","-0.106","2.21","-0.5"
