"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Jered Weaver, W (1-0)","6.1","2","0","0","2","6","0","0.00","22","107","67","37","7","23","5","9","2","0","73","","","0.335","0.84","3.2"
"Hisanori Takahashi","0.1","3","1","1","0","0","1","27.00","4","14","8","6","0","2","3","1","0","0","","0","0","-0.068","0.46","-1.2"
"Jordan Walden, H (1)","0.1","0","0","0","0","1","0","0.00","1","5","3","1","1","1","0","0","0","0","","2","0","0.050","1.93","0.4"
"Kevin Jepsen, H (1)","0.1","1","1","1","2","0","1","27.00","4","18","7","4","2","1","1","1","0","0","","0","0","-0.166","2.17","-1.4"
"Michael Kohn, H (1)","0.2","0","0","0","1","1","0","0.00","3","15","8","4","1","3","0","1","0","0","","2","0","0.176","5.39","0.9"
"Fernando Rodney, S (1)","1","1","0","0","1","2","0","0.00","5","26","17","12","2","3","0","2","1","0","","0","0","0.090","2.58","0.5"
