"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Hiroki Kuroda, W (6-2)","8","2","0","0","1","5","0","1.99","26","109","68","35","13","20","8","12","3","0","82","","","0.429","0.87","3.9"
"Preston Claiborne","1","2","0","0","0","1","0","0.00","5","16","10","5","2","3","0","4","2","0","","0","0","0.006","0.13","0.5"
