"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Jeff Samardzija, W (5-4)","7","8","2","2","1","7","1","4.53","28","105","70","34","15","21","10","9","4","0","59","","","0.182","1.12","1.5"
"Zach Duke, H (13)","0.1","1","0","0","0","0","0","3.41","2","6","5","3","0","2","1","1","1","0","","0","0","-0.010","1.43","-0.0"
"Jake Petricka, S (2)","1.2","0","0","0","0","0","0","3.47","5","14","9","6","0","3","4","1","0","0","","1","0","0.116","0.91","1.0"
