"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"John Danks","7","3","3","3","3","6","3","4.56","26","99","61","24","15","22","4","13","4","0","62","","","0.031","0.56","0.3"
"Matt Albers","1","0","0","0","0","2","0","1.38","3","13","8","2","1","5","0","1","0","0","","0","0","0.021","0.27","0.5"
"David Robertson","1","2","4","2","1","3","0","2.72","8","32","20","9","5","5","1","2","1","0","","0","0","-0.357","2.69","-3.5"
"Nate Jones","0.2","1","0","0","1","1","0","3.52","4","14","9","4","3","2","1","1","1","0","","0","0","0.020","2.75","0.0"
"Zach Duke","0.2","0","0","0","2","0","0","3.47","4","20","11","7","1","3","2","0","0","0","","2","0","0.029","3.28","0.0"
"Jake Petricka","1.2","0","0","0","0","1","0","3.94","5","17","13","8","2","3","4","0","0","0","","2","0","0.342","2.86","1.3"
"Dan Jennings, W (2-3)","2","0","0","0","0","3","0","4.20","6","27","17","5","4","8","1","2","0","0","","0","0","0.261","1.76","0.9"
