"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"A.J. Burnett, W (9-8)","6.1","7","0","0","3","7","0","4.52","26","114","75","43","12","20","9","7","3","0","63","","","0.115","0.57","2.8"
"Joba Chamberlain","0.2","0","0","0","0","0","0","5.86","2","10","7","4","0","3","0","2","0","0","","1","0","0.003","0.05","0.5"
"Sergio Mitre","2","1","0","0","1","3","0","3.73","8","32","20","8","5","7","2","2","0","0","","0","0","0.002","0.03","0.9"
