"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Phil Coke","7","3","0","0","1","4","0","3.88","23","78","54","33","5","16","7","11","3","0","74","","","0.453","0.98","3.7"
"Ryan Perry","0.2","0","0","0","0","0","0","7.27","2","7","5","3","1","1","1","1","0","0","","0","0","0.083","1.61","0.4"
"Daniel Schlereth, L (0-1)","0","1","1","1","1","0","0","3.21","3","14","5","2","1","2","0","1","0","0","","0","0","-0.332","1.23","-1.3"
"Al Alburquerque","0.1","0","0","0","0","0","0","3.38","1","3","2","1","0","1","1","0","0","0","","2","0","0.027","1.05","0.5"
