"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Jeremy Guthrie, L (3-11)","5.1","11","6","6","0","4","2","6.68","27","105","68","42","9","17","8","14","7","0","26","","","-0.347","0.50","-3.8"
"Tim Collins","0.2","0","0","0","0","0","0","3.47","1","1","1","1","0","0","1","0","0","0","","1","0","0.004","0.17","0.5"
"Kelvin Herrera","1","0","0","0","0","1","0","2.65","3","10","8","4","2","2","1","1","0","0","","0","0","0.003","0.03","0.5"
"Louis Coleman","1","0","0","0","0","1","0","4.41","3","8","7","3","1","3","0","2","0","0","","0","0","0.001","0.01","0.5"
