"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Will Smith, L (0-1)","3.1","6","5","5","1","1","3","13.50","16","54","30","18","2","10","5","9","4","0","28","","","-0.284","0.45","-3.5"
"Luis Mendoza","1","1","3","3","2","0","0","5.66","6","21","8","5","0","3","3","0","0","0","","1","0","-0.053","0.47","-1.5"
"Jose Mijares","0.1","0","0","0","0","0","0","2.37","2","8","4","4","0","0","1","0","0","0","","3","1","-0.009","0.43","-0.2"
"Louis Coleman","1.1","0","0","0","1","2","0","2.63","5","21","14","11","2","1","0","2","1","0","","3","1","-0.007","0.15","0.3"
"Greg Holland","1","0","0","0","3","1","0","7.59","6","26","10","4","0","6","1","1","0","0","","0","0","0.002","0.04","0.5"
"Jonathan Broxton","1","1","0","0","0","1","0","2.16","4","23","14","9","3","2","2","1","0","0","","0","0","0.001","0.01","0.5"
