"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Friday, Apr 6","boxscore","MIN","@","BAL","L","2","4","","0-1","2","1.0","Arrieta","Pavano","Johnson","2:38","D","46,773","-"
"2","2","Saturday, Apr 7","boxscore","MIN","@","BAL","L","2","8","","0-2","4","2.0","Hunter","Liriano","","2:37","N","31,532","--"
"3","3","Sunday, Apr 8","boxscore","MIN","@","BAL","L","1","3","","0-3","5","3.0","Hammel","Swarzak","Johnson","2:14","D","14,738","---"
"4","4","Monday, Apr 9","boxscore","MIN","","LAA","L","1","5","","0-4","5","3.5","Wilson","Blackburn","","2:50","D","39,414","----"
"5","5","Wednesday, Apr 11","boxscore","MIN","","LAA","W","6","5","","1-4","4","3.0","Gray","Takahashi","Capps","2:47","N","31,413","+"
"6","6","Thursday, Apr 12","boxscore","MIN","","LAA","W","10","9","","2-4","4","3.0","Gray","Thompson","Capps","3:44","D","31,782","++"
"7","7","Friday, Apr 13","boxscore","MIN","","TEX","L","1","4","","2-5","5","3.0","Harrison","Swarzak","Ogando","2:28","N","31,400","-"
"8","8","Saturday, Apr 14","boxscore","MIN","","TEX","L","2","6","","2-6","5","3.5","Ross","Duensing","","3:27","D","35,854","--"
"9","9","Sunday, Apr 15","boxscore","MIN","","TEX","L","3","4","","2-7","5","4.0","Ross","Perkins","Nathan","2:48","D","32,093","---"
"10","10","Monday, Apr 16","boxscore","MIN","@","NYY","W","7","3","","3-7","4","4.0","Pavano","Garcia","","3:04","N","40,218","+"
"11","11","Tuesday, Apr 17","boxscore","MIN","@","NYY","L","3","8","","3-8","4","5.0","Sabathia","Liriano","","2:59","N","40,194","-"
"12","12","Wednesday, Apr 18","boxscore","MIN","@","NYY","W","6","5","","4-8","4","5.0","Marquis","Kuroda","Capps","3:27","N","36,831","+"
"13","13","Thursday, Apr 19","boxscore","MIN","@","NYY","L","6","7","","4-9","4","5.0","Hughes","Swarzak","Rivera","3:13","N","40,327","-"
"14","14","Friday, Apr 20","boxscore","MIN","@","TBR","W","5","4","","5-9","4","4.5","Maloney","Gomes","Capps","3:09","N","18,763","+"
"15","15","Saturday, Apr 21","boxscore","MIN","@","TBR","L","1","4","","5-10","4","5.0","Shields","Pavano","Rodney","3:03","N","31,774","-"
"16","16","Sunday, Apr 22","boxscore","MIN","@","TBR","L","2","6","","5-11","4","5.0","Niemann","Liriano","","2:54","D","26,507","--"
"17","17","Monday, Apr 23","boxscore","MIN","","BOS","L","5","6","","5-12","4","5.5","Bard","Capps","Aceves","3:12","N","32,351","---"
"18","18","Tuesday, Apr 24","boxscore","MIN","","BOS","L","2","11","","5-13","4","5.5","Beckett","Blackburn","","3:03","N","33,651","----"
"19","19","Wednesday, Apr 25","boxscore","MIN","","BOS","L","6","7","","5-14","4","5.5","Buchholz","Hendriks","Aceves","3:32","N","32,254","-----"
"20","20","Friday, Apr 27","boxscore","MIN","","KCR","L","6","7","","5-15","5","6.0","Mijares","Duensing","Broxton","3:00","N","33,315","------"
"21","21","Sunday, Apr 29","boxscore","MIN","","KCR","W","7","4","","6-15","4","5.5","Marquis","Chen","","3:02","D","34,201","+"
"22","22","Monday, Apr 30","boxscore","MIN","@","LAA","L","3","4","","6-16","5","6.0","Wilson","Blackburn","Downs","2:27","N","27,027","-"
"23","23","Tuesday, May 1","boxscore","MIN","@","LAA","L","0","4","","6-17","5","6.0","Williams","Liriano","","2:10","N","30,039","--"
"24","24","Wednesday, May 2","boxscore","MIN","@","LAA","L","0","9","","6-18","5","7.0","Weaver","Hendriks","","2:28","N","27,288","---"
"25","25","Friday, May 4","boxscore","MIN","@","SEA","W","3","2","","7-18","5","7.5","Pavano","Wilhelmsen","Capps","2:42","N","22,492","+"
"26","26","Saturday, May 5","boxscore","MIN","@","SEA","L","0","7","","7-19","5","7.5","Hernandez","Marquis","","2:33","N","28,437","-"
"27","27","Sunday, May 6","boxscore","MIN","@","SEA","L","2","5","","7-20","5","8.5","Noesi","Blackburn","","2:30","D","23,913","--"
"28","28","Monday, May 7","boxscore","MIN","","LAA","L","3","8","","7-21","5","10.0","Weaver","Liriano","","3:01","N","31,382","---"
"29","29","Tuesday, May 8","boxscore","MIN","","LAA","W","5","0","","8-21","5","9.0","Diamond","Haren","","2:37","N","30,776","+"
"30","30","Wednesday, May 9","boxscore","MIN","","LAA","L","2","6","","8-22","5","9.0","Santana","Pavano","","2:42","N","31,915","-"
"31","31","Thursday, May 10","boxscore","MIN","","TOR","L","2","6","","8-23","5","10.0","Alvarez","Marquis","","2:45","N","31,438","--"
"32","32","Friday, May 11","boxscore","MIN","","TOR","W","7","6","","9-23","5","9.0","Blackburn","Drabek","Capps","3:17","N","33,387","+"
"33","33","Saturday, May 12","boxscore","MIN","","TOR","L","1","2","","9-24","5","9.0","Hutchison","Walters","Janssen","2:50","N","38,820","-"
"34","34","Sunday, May 13","boxscore","MIN","","TOR","W","4","3","","10-24","5","8.0","Diamond","Romero","Capps","2:59","D","36,889","+"
"35","35","Monday, May 14","boxscore","MIN","","CLE","L","4","5","","10-25","5","9.0","Smith","Capps","Perez","2:43","N","32,313","-"
"36","36","Tuesday, May 15","boxscore","MIN","","CLE","L","0","5","","10-26","5","10.0","Lowe","Marquis","","2:27","D","35,732","--"
"37","37","Wednesday, May 16","boxscore","MIN","@","DET","W","11","7","","11-26","5","10.0","Burnett","Below","","3:25","N","33,955","+"
"38","38","Thursday, May 17","boxscore","MIN","@","DET","W","4","3","","12-26","5","10.0","Walters","Fister","Capps","2:36","D","37,840","++"
"39","39","Friday, May 18","boxscore","MIN","@","MIL","W","11","3","","13-26","5","9.0","Diamond","Estrada","","3:35","N","32,421","+++"
"40","40","Saturday, May 19","boxscore","MIN","@","MIL","W","5","4","11","14-26","5","9.0","Gray","Parra","Capps","3:45","D","42,398","++++"
"41","41","Sunday, May 20","boxscore","MIN","@","MIL","L","4","16","","14-27","5","9.0","Greinke","Marquis","","3:25","D","33,064","-"
"42","42","Tuesday, May 22","boxscore","MIN","@","CHW","W","9","2","","15-27","5","9.0","Walters","Floyd","","2:23","N","20,026","+"
"43","43","Wednesday, May 23","boxscore","MIN","@","CHW","L","0","6","","15-28","5","10.0","Sale","Diamond","","2:28","N","20,064","-"
"44","44","Thursday, May 24","boxscore","MIN","@","CHW","L","8","11","","15-29","5","11.0","Jones","De Vries","","3:13","N","20,167","--"
