"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"1","1","Monday, Mar 31","boxscore","TOR","@","TBR","L","2","9","","0-1","4","1.0","Price","Dickey","","3:04","D","31,042","-"
"2","2","Tuesday, Apr 1","boxscore","TOR","@","TBR","W","4","2","","1-1","2","0.5","Hutchison","Cobb","Santos","3:32","N","11,113","+"
"3","3","Wednesday, Apr 2","boxscore","TOR","@","TBR","W","3","0","","2-1","1","up 0.5","Buehrle","Moore","Cecil","2:55","N","10,808","++"
"4","4","Thursday, Apr 3","boxscore","TOR","@","TBR","L","2","7","","2-2","2","0.5","Archer","Morrow","","3:21","N","9,571","-"
"5","5","Friday, Apr 4","boxscore","TOR","","NYY","L","3","7","","2-3","4","1.0","Tanaka","McGowan","","3:26","N","48,197","--"
"6","6","Saturday, Apr 5","boxscore","TOR","","NYY","W","4","0","","3-3","2","1.0","Dickey","Pineda","Santos","2:45","D","45,446","+"
"7","7","Sunday, Apr 6","boxscore","TOR","","NYY","L","4","6","","3-4","3","1.0","Sabathia","Hutchison","Robertson","2:57","D","34,067","-"
"8","8","Tuesday, Apr 8","boxscore","TOR","","HOU","W","5","2","","4-4","2","0.5","Buehrle","Oberholtzer","Santos","2:52","N","13,123","+"
"9","9","Wednesday, Apr 9","boxscore","TOR","","HOU","W","7","3","","5-4","1","up 0.5","Morrow","Harrell","","3:09","N","13,569","++"
"10","10","Thursday, Apr 10","boxscore","TOR","","HOU","L","4","6","","5-5","1","Tied","Keuchel","Dickey","Bass","2:49","N","15,778","-"
"11","11","Friday, Apr 11","boxscore","TOR","@","BAL","W","2","0","","6-5","1","Tied","McGowan","Tillman","Santos","2:20","N","22,327","+"
"12","12","Saturday, Apr 12","boxscore","TOR","@","BAL","L-wo","1","2","12","6-6","2","1.0","Britton","Redmond","","3:39","N","30,446","-"
"13","13","Sunday, Apr 13","boxscore","TOR","@","BAL","W","11","3","","7-6","1","Tied","Buehrle","Jimenez","","2:45","D","39,281","+"
"14","14","Tuesday, Apr 15","boxscore","TOR","@","MIN","W","9","3","","8-6","1","up 0.5","Loup","Hughes","","3:31","N","21,818","++"
"15","15","Thursday, Apr 17 (1)","boxscore","TOR","@","MIN","L","0","7","","8-7","2","2.0","Gibson","Dickey","","2:38","D","20,507","-"
"16","16","Thursday, Apr 17 (2)","boxscore","TOR","@","MIN","L","5","9","","8-8","2","2.0","Fien","Santos","","3:37","N","20,698","--"
"17","17","Friday, Apr 18","boxscore","TOR","@","CLE","W","3","2","","9-8","2","1.0","Delabar","Rzepczynski","Santos","3:15","N","16,335","+"
"18","18","Saturday, Apr 19","boxscore","TOR","@","CLE","W","5","0","","10-8","1","Tied","Buehrle","Kluber","","2:42","D","15,188","++"
"19","19","Sunday, Apr 20","boxscore","TOR","@","CLE","L","4","6","","10-9","2","1.0","Outman","Loup","Axford","2:55","D","11,716","-"
"20","20","Tuesday, Apr 22","boxscore","TOR","","BAL","W","9","3","","11-9","2","1.0","Delabar","Meek","","2:54","N","14,866","+"
"21","21","Wednesday, Apr 23","boxscore","TOR","","BAL","L","8","10","","11-10","2","1.0","Tillman","Redmond","Hunter","3:11","N","15,202","-"
"22","22","Thursday, Apr 24","boxscore","TOR","","BAL","L","4","11","","11-11","3","2.0","Norris","Cecil","","2:54","N","16,283","--"
"23","23","Friday, Apr 25","boxscore","TOR","","BOS","L","1","8","","11-12","3","2.0","Peavy","Buehrle","","2:57","N","29,411","---"
"24","24","Saturday, Apr 26","boxscore","TOR","","BOS","L","6","7","","11-13","4","3.0","Buchholz","Morrow","Uehara","3:23","D","40,322","----"
"25","25","Sunday, Apr 27","boxscore","TOR","","BOS","W","7","1","","12-13","3","3.0","Dickey","Lester","","2:28","D","45,260","+"
"26","26","Tuesday, Apr 29","boxscore","TOR","@","KCR","L","7","10","","12-14","4","3.0","Crow","Cecil","","3:08","N","10,705","-"
"27","27","Wednesday, Apr 30","boxscore","TOR","@","KCR","L","2","4","","12-15","4","3.5","Herrera","Hutchison","Holland","2:59","N","11,715","--"
"28","28","Thursday, May 1","boxscore","TOR","@","KCR","W","7","3","","13-15","3","2.5","Buehrle","Guthrie","Loup","2:35","N","11,207","+"
"29","29","Friday, May 2","boxscore","TOR","@","PIT","L-wo","5","6","","13-16","5","3.0","Melancon","Santos","","3:21","N","24,547","-"
"30","30","Saturday, May 3","boxscore","TOR","@","PIT","L","6","8","","13-17","5","3.5","Morris","Redmond","Melancon","3:19","N","31,439","--"
"31","31","Sunday, May 4","boxscore","TOR","@","PIT","W","7","2","","14-17","5","2.5","McGowan","Volquez","","2:49","D","29,496","+"
"32","32","Monday, May 5","boxscore","TOR","@","PHI","W","3","0","","15-17","3","1.5","Happ","Kendrick","Cecil","2:59","N","25,275","++"
"33","33","Tuesday, May 6","boxscore","TOR","@","PHI","W","6","5","10","16-17","3","1.5","Stroman","Bastardo","Loup","3:06","N","26,057","+++"
"34","34","Wednesday, May 7","boxscore","TOR","","PHI","W","10","0","","17-17","3","1.5","Buehrle","Lee","","2:23","N","16,446","++++"
