"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Garrett Richards, W (1-0)","7","4","1","1","2","8","1","1.13","27","110","70","37","14","19","9","8","1","0","71","","","0.166","0.55","2.3"
"Jason Isringhausen","1","0","0","0","0","1","0","2.18","3","8","6","4","0","2","0","2","0","0","","0","0","0.010","0.14","0.5"
"Jordan Walden","1","1","0","0","1","1","0","2.89","5","19","10","6","3","1","1","2","1","0","","0","0","0.005","0.29","0.5"
