"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"David Price, W (15-5)","5","6","2","2","1","7","0","2.46","22","96","65","38","11","16","7","7","5","0","53","","","0.056","0.40","0.4"
"LaTroy Hawkins","0.2","2","3","2","0","0","1","3.31","5","22","16","11","2","3","1","4","1","0","","0","0","-0.044","0.27","-2.6"
"Brett Cecil","1.1","1","0","0","0","3","0","2.91","5","24","17","8","6","3","2","0","0","0","","0","0","0.016","0.27","0.6"
"Mark Lowe","1","0","0","0","0","0","0","1.70","3","8","5","3","0","2","1","2","0","0","","0","0","0.007","0.08","0.5"
"Aaron Loup","1","0","0","0","0","2","0","4.93","3","18","13","7","1","5","1","0","0","0","","0","0","0.003","0.04","0.5"
