"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"Kyle Davies, L (1-3)","3.1","9","8","8","1","4","4","7.98","20","75","42","24","7","11","3","12","5","0","13","","","-0.304","0.44","-6.8"
"Tim Collins","2.2","1","0","0","2","2","0","4.60","10","49","30","16","8","6","2","4","1","0","","1","0","0.004","0.03","1.6"
"Blake Wood","1","0","0","0","0","0","0","4.70","3","11","6","4","1","1","3","0","0","0","","0","0","0.001","0.02","0.5"
"Aaron Crow","1","0","0","0","1","1","0","0.00","4","22","10","6","2","2","0","2","1","0","","0","0","0.000","0.00","0.5"
