"Pitching","IP","H","R","ER","BB","SO","HR","ERA","BF","Pit","Str","Ctct","StS","StL","GB","FB","LD","Unk","GSc","IR","IS","WPA","aLI","RE24"
"J.A. Happ, L (4-6)","4.2","5","4","4","5","6","1","4.54","24","106","64","44","10","10","4","9","2","0","39","","","-0.279","1.16","-2.4"
"David Carpenter","1","3","1","1","1","1","0","5.57","7","39","26","19","2","5","4","1","1","0","","3","0","-0.039","0.91","-0.5"
"Rhiner Cruz","1","3","5","5","2","3","1","5.40","8","38","17","5","4","8","2","1","0","0","","3","0","-0.041","0.35","-1.5"
"Wesley Wright","0.1","2","2","2","1","0","1","3.86","4","9","4","4","0","0","0","3","2","0","","3","3","-0.025","0.10","-4.2"
"Brandon Lyon","1","0","0","0","1","1","0","2.31","4","14","6","5","0","1","2","0","0","0","","0","0","0.000","0.00","0.5"
"Brian Bogusevic","1","3","2","2","0","0","1","18.00","7","27","20","17","1","2","2","5","1","0","","0","0","0.000","0.00","-1.5"
